stmid,tctype,stmtype,sname,maxv,ndtc,ndstm,blat,blon,bdtg,edtg,minlat,maxlat,minlon,maxlon,stcd,ace,nri,ned,nrw,ricode,9x,9xid,t2gen,gendtg,wncode,
01w.1998,TS,NN,NONAME,35,3.8,5.0,20.9,128.1,1998070600,1998071100,17.2,25.1,121.3,132.3,1.0,0.1,0,0,0,NaN,9X,w01,36,1998070712,wn,
02w.1998,TS,NN,NICHOLE,50,4.8,5.8,22.4,118.6,1998070700,1998071218,18.3,25.1,117.0,120.0,1.7,0.6,0,0,0,NaN,9X,w02,24,1998070800,wn,
03w.1998,TD,NN,NONAME,30,2.5,3.5,24.4,146.2,1998072218,1998072606,16.6,36.5,143.8,149.3,0.6,0.0,0,0,0,NaN,9X,w03,54,1998072500,wn,
04w.1998,TY,NN,OTTO,65,3.5,4.0,19.3,123.4,1998080106,1998080506,14.1,26.5,118.0,128.0,2.3,1.8,2,0,1,ddRI,9X,w04,18,1998080200,wn,
05w.1998,TS,NN,PENNY,55,5.8,6.8,17.7,119.3,1998080506,1998081200,10.2,23.8,107.0,129.9,2.6,1.3,0,0,1,ddRW,9X,w05,24,1998080606,wn,
06w.1998,TY,NN,REX,115,17.5,17.5,30.7,147.7,1998082212,1998090900,16.6,50.3,128.6,185.2,18.4,22.6,4,0,0,rrRI,9X,w06,36,1998082400,wn,
07w.1998,TD,NN,NONAME,30,5.0,6.0,27.5,136.3,1998083106,1998090606,22.6,30.7,122.4,149.5,1.2,0.0,0,0,0,NaN,9X,w07,48,1998090206,wn,
08w.1998,TY,NN,STELLA,65,5.2,6.8,24.7,143.2,1998091000,1998091618,16.8,46.0,136.3,154.0,3.6,2.9,0,0,0,NaN,9X,w08,54,1998091206,wn,
09w.1998,TD,NN,NONAME,25,1.2,2.0,20.3,108.8,1998091218,1998091418,20.1,21.0,104.6,113.7,0.3,0.0,0,0,0,NaN,9X,w09,12,1998091306,wn,
10w.1998,TY,NN,TODD,120,5.8,6.0,25.6,128.3,1998091418,1998092018,19.4,30.3,120.9,135.0,5.0,5.7,5,4,7,ddED,9X,w10,30,1998091600,wn,
11w.1998,TY,NN,VICKI,90,6.5,7.0,22.5,125.8,1998091600,1998092300,15.8,43.8,115.1,147.7,5.8,5.9,4,0,2,ddRI,9X,w11,24,1998091700,wn,
12w.1998,TD,NN,NONAME,30,2.0,3.0,17.1,108.0,1998091618,1998091918,16.0,18.9,105.7,110.2,0.5,0.0,0,0,0,NaN,9X,w12,36,1998091806,wn,
13w.1998,TS,NN,WALDO,40,2.8,3.2,27.1,137.1,1998091818,1998092200,19.6,40.8,135.7,138.8,1.0,0.3,0,0,0,NaN,9X,w13,30,1998092000,wn,
14w.1998,TY,NN,YANNI,90,7.0,7.8,24.3,127.0,1998092406,1998100200,12.9,35.0,122.0,134.2,4.0,3.2,4,0,4,ddRI,9X,w14,18,1998092500,wn,
15w.1998,TD,NN,NONAME,30,4.5,4.8,15.3,111.4,1998100100,1998100518,12.0,19.1,105.5,114.3,1.2,0.0,0,0,0,NaN,9X,w15,54,1998100306,wn,
16w.1998,TD,NN,NONAME,30,3.0,3.8,24.6,123.0,1998100400,1998100718,23.8,25.9,122.2,125.0,0.8,0.0,0,0,0,NaN,9X,w16,30,1998100506,wn,
17w.1998,TD,NN,NONAME,30,1.2,1.8,29.4,126.0,1998100506,1998100700,28.1,30.1,125.6,126.4,0.3,0.0,0,0,0,NaN,9X,w17,18,1998100600,wn,
18w.1998,STY,NN,ZEB,155,9.2,10.8,18.4,133.1,1998100718,1998101812,10.0,45.8,120.2,151.0,10.3,15.8,6,4,5,ddED,9X,w18,48,1998100918,wn,
19w.1998,TS,NN,ALEX,50,2.5,2.5,15.4,138.6,1998101006,1998101218,13.1,18.4,125.5,148.8,1.4,0.8,0,0,0,NaN,9X,w19,18,1998101100,wn,
20w.1998,STY,NN,BABS,140,14.5,16.0,14.7,128.1,1998101118,1998102718,10.5,24.7,115.7,149.2,14.6,19.1,5,4,4,ddED,9X,w20,60,1998101406,wn,
21w.1998,TS,NN,CHIP,50,3.8,4.2,10.2,111.4,1998111018,1998111500,9.1,11.4,107.5,115.6,1.9,1.1,0,0,0,NaN,9X,w21,30,1998111200,wn,
22w.1998,TS,NN,DAWN,40,2.2,3.8,11.0,111.5,1998111618,1998112012,9.3,13.3,106.4,116.8,0.9,0.4,0,0,0,NaN,9X,w22,36,1998111806,wn,
23w.1998,TS,NN,ELVIS,45,2.2,3.2,12.9,113.4,1998112306,1998112612,11.5,14.4,107.6,119.1,1.1,0.7,0,0,0,NaN,9X,w23,18,1998112400,wn,
24w.1998,TY,NN,FAITH,90,6.5,7.0,10.6,122.1,1998120718,1998121418,6.1,15.1,106.2,141.0,5.7,6.3,3,0,3,ddRI,9X,w24,12,1998120806,wn,
25w.1998,TD,NN,GIL,30,4.2,4.5,7.9,105.7,1998120812,1998121300,5.8,9.0,99.8,112.8,1.1,0.0,0,0,0,NaN,9X,w25,24,1998120912,wn,
26w.1998,TD,NN,NONAME,25,1.5,2.0,14.3,121.7,1998121700,1998121900,10.8,18.3,119.5,125.0,0.4,0.0,0,0,0,NaN,9X,w26,12,1998121712,wn,
