stmid,tctype,stmtype,sname,maxv,ndtc,ndstm,blat,blon,bdtg,edtg,minlat,maxlat,minlon,maxlon,stcd,ace,nri,ned,nrw,ricode,9x,9xid,t2gen,gendtg,wncode,
01w.2017,TD,NN,ONE,30,2.5,10.8,9.1,117.8,2017010600,2017011618,4.5,11.3,103.7,131.9,0.6,0.0,0,0,0,NaN,9X,a6w,42,2017010718,wn,
02w.2017,TD,NN,TWO,25,2.8,11.5,11.1,129.8,2017040906,2017042018,2.2,23.3,116.9,151.9,0.8,0.0,0,0,0,NaN,9X,a2w,120,2017041406,wn,
03w.2017,TS,NN,MUIFA,40,3.0,7.2,13.2,138.3,2017042118,2017042900,6.0,21.3,134.2,146.4,1.2,0.6,0,0,0,NaN,9X,a3w,72,2017042418,wn,
04w.2017,TS,NN,MERBOK,45,2.8,4.2,17.3,117.3,2017060900,2017061306,11.3,24.9,114.4,121.4,1.3,0.7,0,0,0,NaN,9X,b6w,48,2017061100,wn,
05w.2017,TS,NN,NANMADOL,60,3.5,6.5,22.6,133.7,2017062900,2017070512,9.8,37.4,124.1,154.8,2.5,1.8,0,0,0,NaN,9X,b9w,72,2017070200,wn,
06w.2017,TS,NN,TALAS,50,2.5,4.5,17.1,109.4,2017071300,2017071712,14.0,19.5,100.2,113.0,1.2,0.7,0,0,1,ddRW,9X,b4w,60,2017071512,wn,
07w.2017,STY,NN,NORU,135,18.8,21.8,28.3,145.2,2017071806,2017080900,22.7,39.1,130.2,162.5,21.4,27.2,6,3,6,ddED,9X,c5w,60,2017072018,wn,
08w.2017,TS,NN,SONCA,45,5.5,7.2,16.1,112.8,2017071818,2017072600,9.6,17.9,104.1,121.6,2.3,1.1,0,0,0,NaN,9X,c6w,54,2017072100,wn,
09w.2017,TS,NN,KULAP,50,6.0,9.5,28.8,163.3,2017071900,2017072812,22.7,33.1,147.3,180.0,3.2,1.8,0,0,0,NaN,9X,c7w,54,2017072106,wn,
10w.2017,TS,NN,ROKE,35,1.5,3.5,20.4,119.7,2017072006,2017072318,17.5,23.6,111.5,125.8,0.6,0.2,0,0,0,NaN,9X,c8w,36,2017072118,wn,
11w.2017,TY,NN,NESAT,85,5.2,10.5,15.1,128.1,2017072006,2017073018,4.2,26.0,116.3,137.4,4.4,4.0,0,0,3,ddRW,9X,c9w,138,2017072600,wn,
12w.2017,TS,NN,HAITANG,40,3.2,6.5,21.1,117.3,2017072518,2017080106,16.8,32.0,115.7,120.7,1.5,0.8,0,0,0,NaN,9X,c2w,60,2017072806,wn,
13w.2017,TS,NN,NALGAE,60,4.5,7.0,30.3,161.8,2017073018,2017080618,25.3,45.5,155.9,165.4,3.3,2.1,0,0,1,ddRW,9X,d7w,30,2017080100,wn,
14w.2017,TY,NN,BANYAN,100,6.5,7.5,24.8,166.9,2017081000,2017081712,15.0,44.4,162.1,179.3,7.2,8.3,4,2,0,rrED,9X,d0w,24,2017081100,wn,
15w.2017,TY,NN,HATO,90,4.0,6.8,20.7,121.8,2017081800,2017082418,18.6,24.1,102.2,138.7,3.0,2.7,3,0,4,ddRI,9X,d3w,42,2017081918,wn,
16w.2017,TS,NN,PAKHAR,60,3.5,5.0,17.6,122.8,2017082218,2017082718,12.7,24.6,107.9,137.0,1.9,1.2,0,0,0,NaN,9X,e6w,42,2017082412,wn,
17w.2017,TY,NN,SANVU,90,4.5,10.0,24.6,147.2,2017082418,2017090318,13.2,48.5,141.3,158.6,5.9,5.5,1,0,0,rrRI,9X,e9w,90,2017082812,wn,
18w.2017,TS,NN,MAWAR,45,2.8,5.0,20.7,118.0,2017083006,2017090406,17.6,24.1,114.6,121.1,1.5,0.7,0,0,0,NaN,9X,e1w,36,2017083118,wn,
19w.2017,TD,NN,GUCHOL,30,3.0,5.5,19.8,124.7,2017090218,2017090806,15.1,27.4,118.9,136.1,0.8,0.0,0,0,0,NaN,9X,e2w,48,2017090418,wn,
20w.2017,TY,NN,TALIM,120,8.2,12.5,23.1,137.0,2017090606,2017091818,10.8,49.0,124.3,159.1,9.6,10.8,3,0,4,ddRI,9X,d4w,60,2017090818,wn,
21w.2017,TY,NN,DOKSURI,95,4.8,7.0,15.4,118.6,2017090900,2017091600,13.5,18.6,101.1,132.9,3.5,3.4,4,0,3,ddRI,9X,f7w,66,2017091118,wn,
22w.2017,TD,NN,TWENTYTWO,30,1.8,4.8,15.7,120.0,2017092018,2017092512,6.9,21.7,106.3,135.4,0.4,0.0,0,0,0,NaN,9X,f0w,72,2017092318,wn,
23w.2017,TD,NN,TWENTYTHR,30,1.2,3.2,16.7,112.2,2017100706,2017101012,15.0,19.3,103.1,119.9,0.3,0.0,0,0,0,NaN,9X,g7w,36,2017100818,wn,
24w.2017,TY,NN,KHANUN,85,4.5,5.8,17.9,121.1,2017101012,2017101606,13.5,20.7,109.3,136.2,3.2,2.9,2,0,2,ddRI,9X,g8w,42,2017101206,wn,
25w.2017,STY,NN,LAN,135,7.2,11.5,15.3,136.2,2017101118,2017102306,6.5,40.0,129.9,149.3,9.4,13.3,4,1,4,ddED,9X,f1w,90,2017101512,wn,
26w.2017,TD,NN,TWENTYSIX,25,0.5,2.5,10.2,117.0,2017101712,2017102000,9.1,11.7,115.0,120.5,0.2,0.0,0,0,0,NaN,9X,f4w,30,2017101818,wn,
27w.2017,TY,NN,SAOLA,65,8.0,13.2,16.6,141.7,2017101612,2017102918,9.0,39.3,128.0,151.9,5.0,3.1,0,0,0,NaN,9X,f3w,78,2017101918,wn,
28w.2017,TY,NN,DAMREY,90,3.5,5.2,12.0,115.7,2017103018,2017110500,9.4,13.1,103.7,127.0,2.8,2.8,5,0,3,ddRI,9X,h6w,48,2017110118,wn,
29w.2017,TD,NN,TWENTYNIN,25,2.2,9.0,7.9,103.3,2017103018,2017110818,5.1,12.8,98.0,111.2,0.6,0.0,0,0,0,NaN,9X,h5w,156,2017110606,wn,
30w.2017,TS,NN,HAIKUI,45,3.5,7.2,15.3,117.9,2017110706,2017111412,10.4,17.9,107.6,132.4,1.4,0.6,0,0,0,NaN,9X,h9w,42,2017110900,wn,
31w.2017,TS,NN,KIROGI,40,2.2,5.0,8.9,119.5,2017111418,2017111918,4.8,12.5,105.5,133.1,1.0,0.5,0,0,0,NaN,9X,h0w,66,2017111712,wn,
32w.2017,TS,NN,KAI-TAK,50,7.5,14.0,8.6,120.2,2017121006,2017122406,1.6,12.3,104.5,134.5,4.0,1.9,0,0,0,NaN,9X,i6w,84,2017121318,wn,
33w.2017,TY,NN,TEMBIN,85,5.5,14.8,6.3,132.6,2017121206,2017122700,1.6,8.5,101.8,156.3,4.2,3.7,0,0,4,ddRW,9X,i7w,204,2017122018,wn,
a0w.2017,TD,NONdev,9X-A0W,15,0.0,2.5,6.4,127.5,2017030500,2017030712,5.3,9.4,123.7,133.6,0.0,0.0,0,0,0,NaN,9X,a0w,NaN,NaN,NaN,
a1w.2017,TD,NONdev,9X-A1W,20,0.0,4.0,9.1,131.0,2017031706,2017032106,7.0,13.2,119.9,145.0,0.0,0.0,0,0,0,NaN,9X,a1w,NaN,NaN,NaN,
a2w.2017,TD,DEV,9X-A2W,20,0.0,4.8,5.4,141.1,2017040906,2017041400,2.2,10.1,130.4,151.9,0.0,0.0,0,0,0,NaN,NN,02w,NaN,NaN,NaN,
a3w.2017,TD,DEV,9X-A3W,20,0.0,2.8,9.3,142.0,2017042118,2017042412,6.0,12.7,138.4,146.4,0.0,0.0,0,0,0,NaN,NN,03w,NaN,NaN,NaN,
