stmid,tctype,stmtype,sname,maxv,ndtc,ndstm,blat,blon,bdtg,edtg,minlat,maxlat,minlon,maxlon,stcd,ace,nri,ned,nrw,ricode,9x,9xid,t2gen,gendtg,wncode,
01w.1995,TD,NN,NONAME,30,3.0,4.8,6.7,180.7,1995010412,1995010906,3.9,10.3,170.9,189.0,0.8,0.0,0,0,0,NaN,9X,w01,90,1995010806,wn,
02w.1995,TS,NN,CHUCK,35,6.2,13.0,8.0,161.8,1995042300,1995050600,4.5,15.0,144.2,169.0,2.1,0.6,0,0,0,NaN,9X,w02,126,1995042806,wn,
03w.1995,TS,NN,DEANNA,45,9.2,12.8,15.4,127.3,1995052800,1995060918,7.3,30.3,117.1,149.8,4.5,2.5,0,0,0,NaN,9X,w03,114,1995060118,wn,
04w.1995,TS,NN,ELI,35,6.2,10.2,13.3,145.2,1995053000,1995060906,5.2,27.9,136.7,155.5,1.9,0.4,0,0,0,NaN,9X,w04,126,1995060406,wn,
05w.1995,TY,NN,FAYE,105,10.2,13.0,21.1,137.9,1995071206,1995072506,5.9,43.9,126.1,155.5,8.5,9.0,0,0,5,ddRW,9X,w05,90,1995071600,wn,
06w.1995,TD,NN,NONAME,30,2.8,4.0,17.0,125.0,1995072506,1995072906,15.5,19.0,121.3,132.3,0.7,0.0,0,0,0,NaN,9X,w06,36,1995072618,wn,
07w.1995,TS,NN,GARY,60,4.2,4.5,20.2,118.4,1995072706,1995073118,18.2,26.5,116.8,120.0,2.1,1.2,0,0,0,NaN,9X,w07,42,1995072900,wn,
08w.1995,TS,NN,HELEN,60,6.0,10.0,17.2,128.7,1995080300,1995081300,12.0,26.0,114.5,145.3,3.1,2.0,0,0,2,ddRW,9X,w08,96,1995080700,wn,
09w.1995,TS,NN,IRVING,60,4.2,7.8,16.4,114.5,1995081306,1995082100,11.6,23.7,107.7,124.0,2.4,1.7,0,0,0,NaN,9X,w09,96,1995081706,wn,
10w.1995,TS,NN,JANIS,60,8.8,13.0,27.7,135.7,1995081700,1995083000,12.0,45.0,120.8,176.0,5.1,3.4,1,0,0,rrRI,9X,w10,108,1995082112,wn,
11w.1995,TD,NN,NONAME,30,0.8,2.2,24.4,126.6,1995082100,1995082306,23.2,25.6,123.9,130.1,0.2,0.0,0,0,0,NaN,9X,w11,36,1995082212,wn,
12w.1995,STY,NN,KENT,140,6.8,8.8,17.9,123.2,1995082400,1995090118,9.6,25.3,103.7,133.7,7.5,10.9,4,3,7,ddED,9X,w12,48,1995082600,wn,
