stmid,tctype,stmtype,sname,maxv,ndtc,ndstm,blat,blon,bdtg,edtg,minlat,maxlat,minlon,maxlon,stcd,ace,nri,ned,nrw,ricode,9x,9xid,t2gen,gendtg,wncode,
01w.1987,TY,NN,ORCHID,95,7.0,7.5,8.8,143.1,1987010612,1987011400,5.8,11.7,129.9,162.4,5.2,4.8,3,0,2,ddRI,9X,xxw,48,1987010812,wn,
02w.1987,TS,NN,PERCY,40,10.8,12.0,8.0,145.2,1987040300,1987041500,5.0,14.1,129.2,155.4,3.0,0.3,0,0,0,NaN,9X,xxw,192,1987041100,wn,
03w.1987,TS,NN,RUTH,35,2.5,2.8,20.3,113.4,1987061700,1987061918,18.7,23.0,108.3,116.8,0.8,0.1,0,0,0,NaN,9X,xxw,24,1987061800,wn,
04w.1987,TY,NN,SPERRY,75,6.2,7.2,17.9,137.6,1987062418,1987070200,10.0,32.4,131.3,149.7,4.4,3.7,1,0,0,rrRI,9X,xxw,54,1987062700,wn,
05w.1987,STY,NN,THELMA,130,9.8,10.0,20.8,134.5,1987070612,1987071612,9.6,42.7,124.8,150.9,10.7,14.7,8,0,5,ddRI,9X,xxw,30,1987070718,wn,
06w.1987,TY,NN,VERNON,65,6.8,6.8,16.6,130.0,1987071506,1987072200,9.2,28.6,121.6,145.9,3.9,2.7,0,0,0,NaN,9X,xxw,36,1987071618,wn,
07w.1987,TY,NN,WYNNE,125,12.0,14.0,17.7,155.5,1987071812,1987080112,4.3,36.2,132.1,191.0,13.3,18.0,4,0,4,ddRI,9X,xxw,90,1987072206,wn,
08w.1987,TY,NN,ALEX,65,7.2,9.2,21.1,127.9,1987072100,1987073006,8.5,39.1,120.7,144.0,4.7,3.7,0,0,2,ddRW,9X,xxw,48,1987072300,wn,
09w.1987,STY,NN,BETTY,140,9.8,10.2,13.3,121.8,1987080700,1987081706,8.4,19.8,100.2,134.2,11.6,18.1,6,4,7,ddED,9X,xxw,12,1987080712,bt,
10w.1987,TY,NN,CARY,85,12.0,17.5,14.2,126.8,1987080700,1987082412,7.6,22.2,96.9,154.9,10.2,9.6,0,0,3,ddRW,9X,xxw,144,1987081300,wn,
11w.1987,STY,NN,DINAH,130,11.5,12.0,17.8,136.6,1987081906,1987083106,9.7,39.6,126.0,159.2,12.9,17.9,4,0,1,ddRI,9X,xxw,42,1987082100,wn,
12w.1987,TS,NN,ED,35,6.5,8.5,13.6,155.0,1987082006,1987082818,7.0,18.6,144.0,173.0,1.8,0.1,0,0,0,NaN,9X,xxw,42,1987082200,wn,
13w.1987,TY,NN,FREDA,125,13.2,13.8,19.7,140.6,1987090318,1987091712,9.4,34.5,137.0,149.5,13.8,17.4,0,0,0,NaN,9X,xxw,24,1987090418,wn,
14w.1987,TY,NN,GERALD,105,7.0,7.0,19.7,123.9,1987090400,1987091100,15.9,27.2,117.3,127.2,6.5,7.2,0,0,5,ddRW,9X,xxw,18,1987090418,wn,
15w.1987,STY,NN,HOLLY,140,12.0,14.5,18.4,162.3,1987090106,1987091518,11.0,30.0,155.2,177.0,13.3,20.0,6,0,4,ddRI,9X,xxw,96,1987090506,wn,
16w.1987,TY,NN,PEKE,100,12.8,12.8,21.6,178.8,1987092100,1987100318,10.0,31.9,169.0,190.3,12.9,15.0,0,0,1,ddRW,9X,xxw,168,1987092800,wn,
17w.1987,TY,NN,IAN,110,11.5,11.5,23.6,142.4,1987092212,1987100400,16.2,38.1,136.7,158.8,10.4,11.2,4,0,0,rrRI,9X,xxw,18,1987092306,wn,
18w.1987,TD,NN,NONAME,30,2.2,2.2,16.9,160.3,1987092400,1987092606,16.4,17.0,157.3,163.1,0.6,0.0,0,0,0,NaN,9X,xxw,18,1987092418,wn,
19w.1987,TS,NN,JUNE,40,4.0,4.8,25.0,153.8,1987092706,1987100200,14.6,32.6,148.6,160.3,1.5,0.5,0,0,0,NaN,9X,xxw,42,1987092900,wn,
20w.1987,TY,NN,KELLY,95,7.2,7.2,21.1,135.5,1987100918,1987101700,12.2,36.8,131.8,137.9,7.7,8.8,0,0,1,ddRW,9X,xxw,6,1987101000,wn,
21w.1987,STY,NN,LYNN,140,13.5,13.5,17.5,134.9,1987101418,1987102806,12.6,23.1,113.3,167.7,14.2,20.4,5,1,1,ddED,9X,xxw,36,1987101606,wn,
22w.1987,TS,NN,MAURY,45,8.8,12.5,13.0,128.1,1987110700,1987111912,10.0,15.0,108.0,148.2,2.9,0.8,0,0,0,NaN,9X,xxw,102,1987111106,wn,
23w.1987,STY,NN,NINA,145,11.5,14.2,10.9,138.4,1987111600,1987113006,2.9,20.3,112.7,171.1,12.9,18.0,3,0,9,ddRI,9X,xxw,84,1987111912,wn,
24w.1987,TS,NN,OGDEN,45,2.2,4.8,12.3,115.6,1987112018,1987112512,11.1,14.7,106.8,126.3,0.9,0.4,0,0,0,NaN,9X,xxw,84,1987112406,wn,
