dtg,stmid,sname,tcvmax,tctype,rlat,rlon,vmax,pmin,dir,spd,trkdir,trkspd,r34m,r34ne,r34se,r34sw,r34nw,r50m,r50ne,r50se,r50sw,r50nw,tccode,wncode,dirtype,posttype,roci,poci,alf,depth,rmax,tdo,
2002010806,w01.2002,9X-W01,TS,NN,6.7,140.5,20,1004,298,8,298,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NT,NW,B,B,NaN,NaN,NaN,NaN,NaN,NaN,
2002010812,w01.2002,9X-W01,TS,NN,7.1,139.5,20,1004,298,8,298,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NT,NW,B,B,NaN,NaN,NaN,NaN,NaN,NaN,
2002010818,w01.2002,9X-W01,TS,NN,7.5,139.0,20,1004,298,8,298,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NT,NW,B,B,NaN,NaN,NaN,NaN,NaN,NaN,
2002010900,w01.2002,9X-W01,TS,NN,8.0,138.7,25,1002,319,6,319,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,NW,B,B,120,1006,NaN,NaN,45,NaN,
2002010906,w01.2002,9X-W01,TS,NN,8.7,137.8,25,1002,315,8,315,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,NW,B,B,120,1006,NaN,NaN,45,NaN,
2002010912,w01.2002,9X-W01,TS,NN,9.3,136.7,25,1002,303,12,303,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,NW,B,B,120,1006,NaN,NaN,45,NaN,
2002010918,w01.2002,9X-W01,TS,NN,9.4,135.8,25,1002,290,10,290,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,NW,B,B,120,1006,NaN,NaN,45,NaN,
2002011000,w01.2002,9X-W01,TS,NN,9.3,135.0,25,1002,270,8,270,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,NW,B,B,120,1006,NaN,NaN,45,NaN,
2002011006,01w.2002,TAPAH,TS,NN,9.4,134.1,25,1002,270,8,270,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,B,B,120,1006,NaN,NaN,45,NaN,
2002011012,01w.2002,TAPAH,TS,NN,9.6,133.3,30,1000,280,9,280,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,B,B,120,1006,NaN,NaN,45,NaN,
2002011018,01w.2002,TAPAH,TS,NN,9.9,132.5,30,1000,288,8,288,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,B,B,120,1006,NaN,NaN,45,NaN,
2002011100,01w.2002,TAPAH,TS,NN,10.2,131.7,30,1000,291,8,291,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,B,B,120,1006,NaN,NaN,45,NaN,
2002011106,01w.2002,TAPAH,TS,NN,10.7,130.9,30,1000,297,9,297,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,B,B,120,1006,NaN,NaN,45,NaN,
2002011112,01w.2002,TAPAH,TS,NN,11.2,130.0,35,997,301,10,301,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TS,WN,B,B,120,1008,NaN,NaN,45,NaN,
