stmid,tctype,stmtype,sname,maxv,ndtc,ndstm,blat,blon,bdtg,edtg,minlat,maxlat,minlon,maxlon,stcd,ace,nri,ned,nrw,ricode,9x,9xid,t2gen,gendtg,wncode,
01w.2010,TD,NN,ONE,30,1.8,2.8,8.6,110.2,2010011718,2010012012,6.9,12.0,105.8,114.7,0.5,0.0,0,0,0,NaN,9X,a3w,24,2010011818,wn,
02w.2010,TS,NN,OMAIS,50,5.0,9.2,11.1,139.3,2010031900,2010032806,2.7,19.2,131.2,155.1,2.8,1.1,0,0,0,NaN,9X,a8w,66,2010032118,wn,
03w.2010,TY,NN,CONSON,80,7.0,10.5,13.9,126.3,2010070712,2010071800,6.8,21.4,105.6,147.0,5.7,5.1,4,0,3,ddRI,9X,c3w,96,2010071112,wn,
04w.2010,TY,NN,CHANTHU,80,5.8,8.0,18.2,117.0,2010071512,2010072312,15.2,23.8,105.8,127.4,3.3,2.5,0,0,3,ddRW,9X,c8w,66,2010071806,wn,
05w.2010,TS,NN,DIANMU,55,4.0,6.5,28.2,127.7,2010080600,2010081212,19.7,40.0,124.2,143.1,2.4,1.4,0,0,0,NaN,9X,d6w,36,2010080712,wn,
06w.2010,TY,NN,MINDULLE,65,3.8,4.5,17.2,111.9,2010082012,2010082500,15.9,19.5,104.0,118.6,1.7,1.2,2,0,2,ddRI,9X,e4w,42,2010082206,wn,
07w.2010,TS,NN,LIONROCK,60,7.0,8.2,20.0,117.5,2010082600,2010090306,14.5,24.2,113.3,120.3,4.0,2.7,0,0,0,NaN,9X,e1w,30,2010082706,wn,
08w.2010,TY,NN,KOMPASU,105,5.8,6.8,28.1,132.8,2010082718,2010090312,14.6,41.5,124.7,142.2,6.3,7.3,3,0,4,ddRI,9X,e8w,24,2010082818,wn,
09w.2010,TS,NN,NAMTHEUN,40,2.0,4.2,24.8,121.9,2010082718,2010090100,22.6,26.1,118.5,124.5,0.9,0.4,0,0,0,NaN,9X,e2w,60,2010083006,wn,
10w.2010,TS,NN,MALOU,45,6.2,14.2,23.1,139.4,2010082718,2010091100,7.8,35.8,125.9,155.8,3.5,1.3,0,0,0,NaN,9X,f3w,120,2010090118,wn,
11w.2010,TY,NN,MERANTI,65,3.5,5.8,25.2,121.6,2010090606,2010091200,20.6,34.9,118.7,129.4,1.8,1.2,1,0,3,ddRI,9X,f0w,42,2010090800,wn,
12w.2010,TY,NN,FANAPI,105,6.5,8.5,21.2,126.5,2010091212,2010092100,15.8,24.3,112.1,138.3,6.4,7.5,0,0,7,ddRW,9X,g4w,54,2010091418,wn,
13w.2010,TY,NN,MALAKAS,90,5.0,8.8,19.5,147.9,2010091612,2010092506,13.6,37.6,140.7,161.7,4.2,4.1,2,0,0,rrRI,9X,g0w,90,2010092006,wn,
14w.2010,TD,NN,FOURTEEN,30,1.2,2.8,17.3,110.6,2010100306,2010100600,14.0,20.7,109.1,112.3,0.3,0.0,0,0,0,NaN,9X,h5w,42,2010100500,wn,
15w.2010,STY,NN,MEGI,160,11.2,13.5,17.1,128.5,2010101018,2010102406,11.7,26.2,117.2,147.1,15.4,25.0,8,2,8,ddED,9X,h0w,54,2010101300,wn,
16w.2010,TY,NN,CHABA,115,7.5,12.2,19.9,137.0,2010101806,2010103012,14.7,35.3,127.8,157.2,8.0,10.4,4,0,2,ddRI,9X,i5w,78,2010102112,wn,
17w.2010,TD,NN,SEVENTEEN,30,2.5,8.0,20.8,156.8,2010101900,2010102700,12.9,28.1,152.5,166.8,0.6,0.0,0,0,0,NaN,9X,i8w,66,2010102118,wn,
18w.2010,TD,NN,EIGHTEEN,30,1.8,4.8,14.0,110.5,2010111006,2010111500,12.9,15.1,106.1,112.4,0.6,0.0,0,0,0,NaN,9X,j0w,60,2010111218,wn,
19w.2010,TD,NN,NINETEEN,25,0.8,5.2,9.4,112.5,2010120906,2010121412,7.7,10.6,107.0,116.2,0.2,0.0,0,0,0,NaN,9X,j5w,78,2010121212,wn,
a0w.2010,TD,NONdev,9X-A0W,20,0.0,8.2,7.8,128.7,2010042118,2010043000,4.5,11.9,115.7,143.9,0.0,0.0,0,0,0,NaN,9X,a0w,NaN,NaN,NaN,
a1w.2010,TD,NONdev,9X-A1W,15,0.0,1.5,5.3,135.2,2010050618,2010050806,4.3,6.8,133.4,137.1,0.0,0.0,0,0,0,NaN,9X,a1w,NaN,NaN,NaN,
a2w.2010,TD,NONdev,9X-A2W,15,0.0,2.5,17.9,128.1,2010051900,2010052112,17.2,18.7,126.3,130.1,0.0,0.0,0,0,0,NaN,9X,a2w,NaN,NaN,NaN,
a3w.2010,TD,DEV,9X-A3W,15,0.0,0.8,7.1,113.6,2010011718,2010011812,7.0,7.1,112.4,114.7,0.0,0.0,0,0,0,NaN,NN,01w,NaN,NaN,NaN,
a4w.2010,TD,NONdev,9X-A4W,15,0.0,2.2,8.3,159.3,2010011906,2010012112,6.5,10.9,158.6,161.1,0.0,0.0,0,0,0,NaN,9X,a4w,NaN,NaN,NaN,
a5w.2010,TD,NONdev,9X-A5W,15,0.0,4.8,6.3,153.3,2010012118,2010012612,4.9,8.7,140.0,161.9,0.0,0.0,0,0,0,NaN,9X,a5w,NaN,NaN,NaN,
a6w.2010,TD,NONdev,9X-A6W,15,0.0,1.2,6.1,138.6,2010031212,2010031318,6.0,6.2,137.4,139.5,0.0,0.0,0,0,0,NaN,9X,a6w,NaN,NaN,NaN,
a7w.2010,TD,NONdev,9X-A7W,15,0.0,2.5,4.8,162.2,2010031606,2010031818,4.0,5.5,159.4,164.3,0.0,0.0,0,0,0,NaN,9X,a7w,NaN,NaN,NaN,
a8w.2010,TD,DEV,9X-A8W,20,0.0,2.5,3.8,148.9,2010031900,2010032112,2.3,5.3,144.9,155.1,0.0,0.0,0,0,0,NaN,NN,02w,NaN,NaN,NaN,
a9w.2010,TD,NONdev,9X-A9W,20,0.0,6.8,6.7,138.9,2010040506,2010041200,5.0,8.9,128.7,149.5,0.0,0.0,0,0,0,NaN,9X,a9w,NaN,NaN,NaN,
b0w.2010,TD,NONdev,9X-B0W,15,0.0,3.2,10.3,131.8,2010062606,2010062912,8.5,14.0,125.5,139.6,0.0,0.0,0,0,0,NaN,9X,b0w,NaN,NaN,NaN,
b1w.2010,TD,NONdev,9X-B1W,15,0.0,1.2,29.7,150.4,2010062906,2010063012,28.8,30.6,148.7,151.8,0.0,0.0,0,0,0,NaN,9X,b1w,NaN,NaN,NaN,
b2w.2010,TD,NONdev,9X-B2W,15,0.0,1.2,24.5,126.6,2010070106,2010070212,24.0,25.2,123.7,129.9,0.0,0.0,0,0,0,NaN,9X,b2w,NaN,NaN,NaN,
b3w.2010,TD,NONdev,9X-B3W,20,0.0,3.8,20.3,115.7,2010052500,2010052818,17.2,24.2,112.9,119.9,0.0,0.0,0,0,0,NaN,9X,b3w,NaN,NaN,NaN,
b4w.2010,TD,NONdev,9X-B4W,15,0.0,4.2,21.2,120.9,2010060112,2010060518,18.2,25.6,110.2,134.2,0.0,0.0,0,0,0,NaN,9X,b4w,NaN,NaN,NaN,
b5w.2010,TD,NONdev,9X-B5W,15,0.0,2.2,18.1,118.2,2010060406,2010060612,17.2,19.8,115.1,120.8,0.0,0.0,0,0,0,NaN,9X,b5w,NaN,NaN,NaN,
b6w.2010,TD,NONdev,9X-B6W,15,0.0,1.8,22.1,125.9,2010060512,2010060706,21.3,23.4,122.0,129.9,0.0,0.0,0,0,0,NaN,9X,b6w,NaN,NaN,NaN,
b7w.2010,TD,NONdev,9X-B7W,15,0.0,1.0,10.2,117.0,2010061706,2010061806,9.0,10.6,111.4,122.0,0.0,0.0,0,0,0,NaN,9X,b7w,NaN,NaN,NaN,
b8w.2010,TD,NONdev,9X-B8W,15,0.0,1.0,3.5,130.2,2010062000,2010062100,2.8,4.2,129.2,131.3,0.0,0.0,0,0,0,NaN,9X,b8w,NaN,NaN,NaN,
b9w.2010,TD,NONdev,9X-B9W,15,0.0,1.2,15.1,131.2,2010062006,2010062112,15.0,15.6,129.6,132.6,0.0,0.0,0,0,0,NaN,9X,b9w,NaN,NaN,NaN,
c0w.2010,TD,NONdev,9X-C0W,15,0.0,2.5,22.4,123.6,2010072206,2010072418,18.1,25.3,120.7,126.1,0.0,0.0,0,0,0,NaN,9X,c0w,NaN,NaN,NaN,
c1w.2010,TD,NONdev,9X-C1W,20,0.0,3.5,12.1,112.8,2010072306,2010072618,10.0,16.5,108.2,118.5,0.0,0.0,0,0,0,NaN,9X,c1w,NaN,NaN,NaN,
c2w.2010,TD,NONdev,9X-C2W,15,0.0,2.2,30.8,122.9,2010072606,2010072812,27.2,34.4,120.5,124.9,0.0,0.0,0,0,0,NaN,9X,c2w,NaN,NaN,NaN,
c3w.2010,TD,DEV,9X-C3W,20,0.0,3.8,9.5,141.5,2010070712,2010071106,6.8,13.2,133.6,147.0,0.0,0.0,0,0,0,NaN,NN,03w,NaN,NaN,NaN,
c4w.2010,TD,NONdev,9X-C4W,15,0.0,1.5,7.7,139.7,2010071100,2010071212,7.6,8.1,138.1,141.3,0.0,0.0,0,0,0,NaN,9X,c4w,NaN,NaN,NaN,
c5w.2010,TD,NONdev,9X-C5W,15,0.0,1.0,13.9,114.5,2010071106,2010071206,13.9,14.0,113.8,115.2,0.0,0.0,0,0,0,NaN,9X,c5w,NaN,NaN,NaN,
c6w.2010,TD,NONdev,9X-C6W,15,0.0,1.0,12.0,134.3,2010071300,2010071400,12.0,12.0,133.6,134.9,0.0,0.0,0,0,0,NaN,9X,c6w,NaN,NaN,NaN,
c7w.2010,TD,NONdev,9X-C7W,20,0.0,5.0,25.9,131.4,2010071512,2010072012,22.6,33.3,123.7,141.9,0.0,0.0,0,0,0,NaN,9X,c7w,NaN,NaN,NaN,
c8w.2010,TD,DEV,9X-C8W,20,0.0,2.5,16.9,123.7,2010071512,2010071800,15.2,18.5,122.1,127.4,0.0,0.0,0,0,0,NaN,NN,04w,NaN,NaN,NaN,
c9w.2010,TD,NONdev,9X-C9W,15,0.0,3.0,8.9,133.3,2010072018,2010072318,7.7,10.9,126.0,138.7,0.0,0.0,0,0,0,NaN,9X,c9w,NaN,NaN,NaN,
d0w.2010,TD,NONdev,9X-D0W,15,0.0,1.0,26.5,156.0,2010080812,2010080912,26.5,26.5,155.1,156.9,0.0,0.0,0,0,0,NaN,9X,d0w,NaN,NaN,NaN,
d1w.2010,TD,NONdev,9X-D1W,15,0.0,1.0,22.4,122.9,2010081400,2010081500,21.5,23.0,121.2,124.8,0.0,0.0,0,0,0,NaN,9X,d1w,NaN,NaN,NaN,
d2w.2010,TD,NONdev,9X-D2W,15,0.0,1.0,14.0,128.4,2010081506,2010081606,14.0,14.0,126.7,130.0,0.0,0.0,0,0,0,NaN,9X,d2w,NaN,NaN,NaN,
