stmid,tctype,stmtype,sname,maxv,ndtc,ndstm,blat,blon,bdtg,edtg,minlat,maxlat,minlon,maxlon,stcd,ace,nri,ned,nrw,ricode,9x,9xid,t2gen,gendtg,wncode,
01w.2018,TS,NN,BOLAVEN,35,2.8,3.8,10.3,119.1,2017123118,2018010412,8.6,12.9,109.6,131.0,0.8,0.1,0,0,0,NaN,9X,a9w,24,2018010118,wn,
02w.2018,TS,NN,SANBA,40,3.5,9.8,8.5,133.9,2018020618,2018021612,6.4,10.6,115.0,151.9,1.7,0.7,0,0,0,NaN,9X,a3w,48,2018020818,wn,
03w.2018,STY,NN,JELAWAT,130,7.2,17.5,10.3,145.4,2018031600,2018040212,2.7,19.9,134.8,159.5,6.3,6.5,4,3,5,ddED,9X,a6w,210,2018032418,wn,
04w.2018,TS,NN,FOUR,35,3.5,12.5,14.3,151.3,2018050206,2018051418,5.6,23.3,144.1,154.8,1.1,0.2,0,0,0,NaN,9X,a7w,234,2018051200,wn,
05w.2018,TS,NN,EWINIAR,40,6.0,10.2,16.2,113.1,2018053006,2018060912,8.9,23.8,110.2,121.8,2.0,0.6,0,0,0,NaN,9X,b9w,72,2018060206,wn,
06w.2018,TS,NN,MALIKSI,60,4.0,12.5,15.1,131.3,2018053006,2018061118,5.7,36.9,126.4,147.0,3.1,2.3,0,0,0,NaN,9X,c0w,204,2018060718,wn,
07w.2018,TS,NN,SEVEN,35,0.0,2.8,21.9,120.0,2018061112,2018061406,20.2,26.8,114.6,126.4,0.5,0.1,0,0,0,NaN,9X,c3w,54,2018061318,wn,
08w.2018,TS,NN,GAEMI,45,1.5,4.0,24.4,123.4,2018061306,2018061706,21.0,29.3,114.7,132.7,1.6,0.9,0,0,0,NaN,9X,c5w,24,2018061406,wn,
09w.2018,TY,NN,PRAPIROON,80,5.8,9.5,25.1,132.3,2018062512,2018070500,17.7,41.2,126.8,142.6,5.1,4.6,0,0,0,NaN,9X,d0w,72,2018062812,wn,
10w.2018,STY,NN,MARIA,145,9.0,17.2,16.3,144.9,2018062512,2018071218,8.9,30.7,111.7,170.6,12.4,21.5,6,3,9,ddED,9X,d1w,174,2018070218,wn,
11w.2018,TS,NN,SON-TINH,50,9.0,14.5,18.1,121.4,2018071000,2018072412,10.0,22.4,102.5,146.6,3.6,1.6,0,0,0,NaN,9X,d2w,132,2018071512,wn,
12w.2018,TS,NN,AMPIL,55,6.2,13.2,21.2,128.5,2018071106,2018072412,9.7,41.6,117.5,137.8,3.6,2.1,0,0,0,NaN,9X,d4w,156,2018071718,wn,
13w.2018,TS,NN,THIRTEEN,35,1.5,4.0,21.2,120.1,2018071912,2018072312,17.8,30.0,114.0,124.1,0.9,0.2,0,0,0,NaN,9X,d8w,30,2018072018,wn,
14w.2018,TY,NN,WUKONG,65,5.0,7.8,28.1,157.7,2018071912,2018072706,15.2,45.9,152.0,159.6,3.1,2.3,0,0,2,ddRW,9X,c7w,54,2018072118,wn,
15w.2018,TY,NN,JONGDARI,90,11.8,16.0,23.9,134.8,2018071906,2018080406,9.9,34.8,117.3,149.6,6.8,5.5,2,0,5,ddRI,9X,d6w,66,2018072200,wn,
16w.2018,TS,NN,SIXTEEN,35,2.0,5.2,30.4,150.6,2018072800,2018080206,24.7,38.0,146.5,153.5,1.0,0.2,0,0,0,NaN,9X,e0w,60,2018073012,wn,
17w.2018,TY,NN,SHANSHAN,85,7.5,9.8,26.7,147.7,2018073118,2018081012,17.0,41.3,141.0,155.9,7.1,7.2,0,0,2,ddRW,9X,e4w,48,2018080218,wn,
18w.2018,TS,NN,YAGI,45,7.8,14.0,22.0,131.2,2018073112,2018081412,16.9,37.6,116.2,138.8,3.5,1.7,0,0,0,NaN,9X,e3w,150,2018080618,wn,
19w.2018,TY,NN,LEEPI,65,5.0,8.2,22.1,142.5,2018080712,2018081518,12.6,36.6,129.4,153.5,3.5,2.7,0,0,0,NaN,9X,d7w,84,2018081100,wn,
