stmid,tctype,stmtype,sname,maxv,ndtc,ndstm,blat,blon,bdtg,edtg,minlat,maxlat,minlon,maxlon,stcd,ace,nri,ned,nrw,ricode,9x,9xid,t2gen,gendtg,wncode,
01w.2019,TD,NN,ONE,30,1.2,19.5,5.6,154.2,2019010306,2019012218,1.4,13.3,125.6,174.8,0.3,0.0,0,0,0,NaN,9X,a0w,36,2019010418,wn,
02w.2019,STY,NN,WUTIP,140,9.5,14.8,9.4,150.8,2019021412,2019030106,1.9,19.3,134.1,171.0,11.9,18.6,4,0,10,ddRI,9X,a2w,114,2019021906,wn,
03w.2019,TS,NN,THREE,35,3.8,8.2,6.7,140.4,2019031118,2019032000,3.7,8.0,118.9,160.5,1.0,0.1,0,0,0,NaN,9X,a5w,78,2019031500,wn,
04w.2019,TS,NN,FOUR,35,2.5,5.0,16.2,129.8,2019062700,2019070200,10.3,24.7,122.1,137.2,0.7,0.1,0,0,0,NaN,9X,b5w,42,2019062818,wn,
05w.2019,TS,NN,MUN,35,1.2,3.2,19.3,109.8,2019070106,2019070412,18.0,22.6,105.0,114.4,0.4,0.1,0,0,0,NaN,9X,z3w,60,2019070318,wn,
06w.2019,TS,NN,DANAS,45,3.8,9.2,21.6,129.3,2019071206,2019072112,6.2,40.9,123.3,140.0,2.1,0.9,0,0,0,NaN,9X,z4w,96,2019071606,wn,
07w.2019,TS,NN,NARI,35,2.8,4.8,28.0,136.5,2019072218,2019072712,22.9,36.2,134.3,137.8,1.1,0.4,0,0,0,NaN,9X,c1w,54,2019072500,wn,
08w.2019,TS,NN,WIPHA,55,4.2,6.2,19.2,111.9,2019072812,2019080318,15.9,21.5,104.4,118.2,2.2,1.3,0,0,2,ddRW,9X,z5w,54,2019073018,wn,
09w.2019,TY,NN,FRANCISCO,80,6.0,10.2,27.0,145.4,2019072900,2019080806,18.2,42.1,128.7,161.0,4.3,3.3,0,0,2,ddRW,9X,z6w,90,2019080118,wn,
10w.2019,STY,NN,LEKIMA,135,7.8,12.8,21.2,128.5,2019073006,2019081200,13.9,38.5,120.0,137.0,8.8,11.9,6,2,7,ddED,9X,z7w,114,2019080400,wn,
11w.2019,TY,NN,KROSA,100,10.0,13.2,25.1,139.6,2019080318,2019081700,14.6,44.5,132.6,146.9,10.1,10.2,3,0,0,rrRI,9X,c5w,48,2019080518,wn,
12w.2019,TS,NN,BAILU,60,4.5,7.0,18.1,126.3,2019081900,2019082600,12.6,24.9,112.2,135.1,2.6,1.8,0,0,0,NaN,9X,z1w,54,2019082106,wn,
13w.2019,TS,NN,PODUL,40,3.5,7.8,13.6,124.1,2019082306,2019083100,7.0,17.9,102.1,145.0,1.4,0.6,0,0,0,NaN,9X,z8w,78,2019082612,wn,
14w.2019,TY,NN,FAXAI,115,8.8,12.2,23.0,158.6,2019082912,2019091018,12.5,42.4,139.0,180.1,7.9,8.6,4,0,5,ddRI,9X,d0w,78,2019090118,wn,
15w.2019,TY,NN,LINGLING,120,6.2,9.2,19.8,127.9,2019082912,2019090718,6.4,44.4,123.9,137.7,7.2,9.8,7,0,5,ddRI,9X,d2w,84,2019090200,wn,
16w.2019,TS,NN,KAJIKI,35,3.8,7.0,18.0,115.2,2019082906,2019090506,15.6,19.6,106.3,128.2,1.1,0.1,0,0,0,NaN,9X,d1w,108,2019090218,wn,
17w.2019,TS,NN,PEIPAH,35,2.0,6.5,15.0,154.6,2019091018,2019091706,6.2,30.9,142.5,171.7,0.6,0.1,0,0,0,NaN,9X,c7w,96,2019091418,wn,
18w.2019,TY,NN,TAPAH,65,4.2,7.0,25.7,128.7,2019091606,2019092306,20.2,40.9,125.6,138.6,3.4,2.8,0,0,0,NaN,9X,e5w,66,2019091900,wn,
19w.2019,TY,NN,MITAG,90,6.5,8.8,24.6,131.1,2019092518,2019100412,12.1,39.0,122.1,149.3,5.9,5.3,0,0,2,ddRW,9X,e1w,36,2019092706,wn,
