stmid,tctype,stmtype,sname,maxv,ndtc,ndstm,blat,blon,bdtg,edtg,minlat,maxlat,minlon,maxlon,stcd,ace,nri,ned,nrw,ricode,9x,9xid,t2gen,gendtg,wncode,
01w.1998,TD,NN,NONAME,30,3.8,5.0,20.9,128.2,1998070600,1998071100,17.2,25.1,121.3,132.3,0.9,0.0,0,0,0,NaN,9X,w01,36,1998070712,wn,
02w.1998,TS,NN,NICHOLE,50,4.8,5.8,22.3,118.7,1998070700,1998071218,18.3,25.1,117.0,120.1,1.6,0.5,0,0,0,NaN,9X,w02,24,1998070800,wn,
03w.1998,TS,NN,NONAME,45,2.5,3.5,24.7,146.5,1998072218,1998072606,17.0,36.2,144.1,149.3,0.8,0.2,0,0,0,NaN,9X,w03,54,1998072500,wn,
04w.1998,TY,NN,OTTO,100,3.5,4.0,19.5,123.5,1998080106,1998080506,14.1,26.5,118.0,128.0,2.7,2.6,3,1,2,ddED,9X,w04,18,1998080200,wn,
05w.1998,TS,NN,PENNY,60,6.0,6.8,17.7,119.4,1998080506,1998081200,10.2,23.8,107.0,129.9,2.7,1.4,0,0,2,ddRW,9X,w05,24,1998080606,wn,
06w.1998,TY,NN,REX,115,17.5,17.5,30.7,147.8,1998082212,1998090900,16.6,50.3,128.6,185.2,19.0,23.6,3,0,0,rrRI,9X,w06,36,1998082400,wn,
07w.1998,TD,NN,NONAME,30,5.0,6.0,27.5,136.2,1998083106,1998090606,22.6,30.6,122.4,149.5,1.2,0.0,0,0,0,NaN,9X,w07,48,1998090206,wn,
08w.1998,TY,NN,STELLA,65,5.2,6.8,24.7,143.1,1998091000,1998091618,16.8,46.0,136.3,154.0,3.7,3.0,0,0,0,NaN,9X,w08,54,1998091206,wn,
09w.1998,TD,NN,NONAME,25,1.2,2.0,20.3,108.8,1998091218,1998091418,20.1,21.0,104.6,113.7,0.3,0.0,0,0,0,NaN,9X,w09,12,1998091306,wn,
10w.1998,STY,NN,TODD,130,6.0,6.0,25.5,128.5,1998091418,1998092018,19.4,30.4,121.0,135.0,5.3,6.4,5,4,4,ddED,9X,w10,30,1998091600,wn,
11w.1998,TY,NN,VICKI,90,6.5,7.0,22.5,126.0,1998091600,1998092300,16.0,43.8,117.9,147.7,5.8,5.9,4,0,3,ddRI,9X,w11,24,1998091700,wn,
12w.1998,TD,NN,NONAME,30,2.0,3.0,17.1,108.0,1998091618,1998091918,16.0,18.7,105.7,110.2,0.5,0.0,0,0,0,NaN,9X,w12,36,1998091806,wn,
13w.1998,TS,NN,WALDO,45,2.5,3.0,26.5,137.1,1998091818,1998092118,19.6,38.0,136.0,138.1,1.1,0.5,0,0,0,NaN,9X,w13,30,1998092000,wn,
14w.1998,TY,NN,YANNI,80,7.0,7.8,24.4,126.8,1998092406,1998100200,12.9,34.6,122.3,134.2,4.0,3.1,3,0,3,ddRI,9X,w14,18,1998092500,wn,
15w.1998,TD,NN,NONAME,30,3.8,3.8,15.9,111.0,1998100200,1998100518,12.0,19.0,105.2,114.3,1.0,0.0,0,0,0,NaN,9X,w15,30,1998100306,wn,
16w.1998,TD,NN,NONAME,30,3.0,3.8,24.5,123.0,1998100400,1998100718,23.8,25.4,122.2,124.7,0.8,0.0,0,0,0,NaN,9X,w16,30,1998100506,wn,
17w.1998,TD,NN,NONAME,30,0.8,1.8,29.3,126.0,1998100506,1998100700,28.1,30.1,125.6,126.4,0.2,0.0,0,0,0,NaN,9X,w17,18,1998100600,wn,
18w.1998,STY,NN,ZEB,155,9.2,10.8,18.5,133.1,1998100718,1998101812,10.6,45.8,120.9,151.0,11.0,17.3,9,4,5,ddED,9X,w18,48,1998100918,wn,
19w.1998,TS,NN,ALEX,50,2.5,2.5,15.5,138.6,1998101006,1998101218,13.1,18.2,127.0,148.8,1.4,0.8,0,0,0,NaN,9X,w19,18,1998101100,wn,
20w.1998,STY,NN,BABS,135,14.5,16.0,14.6,128.2,1998101118,1998102718,10.9,24.7,116.3,149.2,14.4,18.6,4,4,5,ddED,9X,w20,60,1998101406,wn,
21w.1998,TS,NN,CHIP,50,4.2,4.2,10.1,111.3,1998111018,1998111500,9.2,11.2,107.5,115.6,1.9,1.0,0,0,0,NaN,9X,w21,30,1998111200,wn,
22w.1998,TS,NN,DAWN,45,2.0,3.8,11.1,111.7,1998111618,1998112012,9.6,13.3,106.4,116.8,0.9,0.5,0,0,0,NaN,9X,w22,36,1998111806,wn,
23w.1998,TS,NN,ELVIS,45,2.5,3.2,12.9,113.4,1998112306,1998112612,11.5,14.4,107.6,119.1,1.3,0.7,0,0,0,NaN,9X,w23,18,1998112400,wn,
24w.1998,TY,NN,FAITH,90,6.5,7.0,10.7,122.1,1998120718,1998121418,6.1,15.1,106.2,141.0,5.7,6.2,2,0,3,ddRI,9X,w24,12,1998120806,wn,
25w.1998,TS,NN,GIL,35,4.0,4.5,8.0,105.9,1998120812,1998121300,7.5,8.4,99.8,113.9,1.4,0.5,0,0,0,NaN,9X,w25,24,1998120912,wn,
26w.1998,TD,NN,NONAME,25,1.5,2.0,14.5,121.9,1998121700,1998121900,10.9,18.7,119.8,125.0,0.4,0.0,0,0,0,NaN,9X,w26,12,1998121712,wn,
27w.1998,TD,NN,NONAME,30,2.8,3.2,16.4,114.7,1998121818,1998122200,12.9,19.7,113.1,117.2,0.7,0.0,0,0,0,NaN,9X,w27,12,1998121906,wn,
01l.1998,TS,NN,ALEX,45,6.2,6.2,15.2,315.5,1998072712,1998080218,11.3,21.0,300.7,334.6,3.1,1.7,0,0,0,NaN,9X,l01,NaN,NaN,wn,
02l.1998,TY,NN,BONNIE,100,11.8,11.8,29.4,292.9,1998081912,1998083106,14.7,44.5,282.2,319.0,12.3,15.0,1,0,3,ddRI,9X,l02,6,1998081918,wn,
03l.1998,TS,NN,CHARLEY,60,1.8,2.8,27.6,262.7,1998082106,1998082400,25.3,29.4,258.8,267.7,0.9,0.5,1,0,1,ddRI,9X,l03,6,1998082112,wn,
04l.1998,TY,NN,DANIELLE,90,15.0,15.0,33.2,310.2,1998082406,1998090806,13.4,57.0,285.7,348.0,15.3,16.6,4,0,0,rrRI,9X,l04,6,1998082412,wn,
05l.1998,TY,NN,EARL,85,8.0,8.0,37.4,290.7,1998083112,1998090812,21.6,52.0,266.2,335.0,6.1,5.0,2,0,2,ddRI,9X,l05,6,1998083118,wn,
06l.1998,TS,NN,FRANCES,55,4.2,5.0,27.9,264.0,1998090818,1998091318,23.5,33.0,262.4,265.6,2.0,1.0,0,0,0,NaN,9X,l06,NaN,NaN,wn,
07l.1998,STY,NN,GEORGES,135,15.5,15.8,20.7,293.1,1998091512,1998100106,9.7,31.0,271.0,334.9,17.4,23.3,6,0,11,ddRI,9X,l07,NaN,NaN,wn,
08l.1998,TS,NN,HERMINE,40,3.0,3.2,27.5,268.6,1998091712,1998092018,25.7,31.0,267.5,270.0,1.1,0.3,0,0,0,NaN,9X,l08,6,1998091718,wn,
09l.1998,TY,NN,IVAN,80,8.8,8.8,27.1,325.8,1998091900,1998092718,12.9,41.5,317.7,344.5,6.6,5.9,0,0,3,ddRW,9X,l09,36,1998092012,wn,
10l.1998,TY,NN,JEANNE,90,13.2,13.2,27.1,331.2,1998092106,1998100412,9.6,39.5,318.0,355.0,11.6,12.0,3,0,2,ddRI,9X,l10,12,1998092118,wn,
11l.1998,TY,NN,KARL,90,6.2,6.2,36.6,317.1,1998092312,1998092918,30.3,49.0,294.6,352.0,5.1,4.9,0,0,4,ddRW,9X,l11,6,1998092318,wn,
12l.1998,TY,NN,LISA,65,5.0,5.0,24.9,316.0,1998100500,1998101000,13.9,52.1,310.7,328.0,3.9,3.2,0,0,0,NaN,9X,l12,18,1998100518,wn,
