dtg,stmid,sname,tcvmax,tctype,rlat,rlon,vmax,pmin,dir,spd,trkdir,trkspd,r34m,r34ne,r34se,r34sw,r34nw,r50m,r50ne,r50se,r50sw,r50nw,tccode,wncode,dirtype,posttype,roci,poci,alf,depth,rmax,tdo,
2004021018,w01.2004,9X-W01,TS,NN,7.8,148.0,15,1006,299,10,299,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NT,NW,B,B,NaN,NaN,NaN,NaN,NaN,NaN,
2004021100,w01.2004,9X-W01,TS,NN,8.2,147.2,15,1006,299,10,299,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NT,NW,B,B,NaN,NaN,NaN,NaN,NaN,NaN,
2004021106,w01.2004,9X-W01,TS,NN,8.8,146.2,20,1004,299,10,299,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NT,NW,B,B,NaN,NaN,NaN,NaN,NaN,NaN,
2004021112,w01.2004,9X-W01,TS,NN,9.6,145.1,20,1004,304,13,304,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NT,NW,B,B,NaN,NaN,NaN,NaN,NaN,NaN,
2004021118,01w.2004,NONAME,TS,NN,10.4,144.0,25,1002,306,13,306,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,B,B,NaN,NaN,NaN,NaN,NaN,NaN,
2004021200,01w.2004,NONAME,TS,NN,11.1,142.7,25,1002,302,14,302,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,B,B,120,1006,NaN,NaN,60,NaN,
2004021206,01w.2004,NONAME,TS,NN,11.6,141.3,30,1000,294,15,294,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,B,B,45,1006,NaN,NaN,30,NaN,
2004021212,01w.2004,NONAME,TS,NN,12.7,140.3,30,1000,304,14,304,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,B,B,120,1006,NaN,NaN,30,NaN,
2004021218,01w.2004,NONAME,TS,NN,12.4,138.9,30,1000,289,12,289,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,B,B,120,1007,NaN,NaN,30,NaN,
2004021300,01w.2004,NONAME,TS,NN,12.4,137.6,30,1000,264,13,264,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,B,B,120,1007,NaN,NaN,30,NaN,
2004021306,01w.2004,NONAME,TS,NN,12.8,136.7,30,1000,281,11,281,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,B,B,120,1008,NaN,NaN,30,NaN,
2004021312,01w.2004,NONAME,TS,NN,13.4,135.9,35,997,301,10,301,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TS,WN,B,B,100,1008,NaN,NaN,30,NaN,
2004021318,01w.2004,NONAME,TS,NN,14.1,135.4,40,994,316,9,316,9,38,40,40,30,40,NaN,NaN,NaN,NaN,NaN,TS,WN,B,B,200,1006,NaN,NaN,30,NaN,
2004021400,01w.2004,NONAME,TS,NN,14.8,135.2,35,997,334,8,334,8,38,40,40,30,40,NaN,NaN,NaN,NaN,NaN,TS,WN,B,B,200,1006,NaN,NaN,30,NaN,
2004021406,01w.2004,NONAME,TS,NN,15.3,135.6,35,997,9,6,9,6,38,40,40,30,40,NaN,NaN,NaN,NaN,NaN,TS,WN,B,B,150,1004,NaN,NaN,20,NaN,
2004021412,01w.2004,NONAME,TS,NN,14.8,135.9,30,1000,90,3,90,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,B,B,150,1004,NaN,NaN,20,NaN,
2004021418,01w.2004,NONAME,TS,NN,14.7,136.3,30,1000,132,5,132,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,B,B,120,1004,NaN,NaN,40,NaN,
2004021500,01w.2004,NONAME,TS,NN,14.9,136.6,30,1000,82,3,82,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,B,B,120,1004,NaN,NaN,40,NaN,
2004021506,01w.2004,NONAME,TS,NN,14.8,137.0,30,1000,82,3,82,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,B,B,120,1004,NaN,NaN,40,NaN,
2004021512,01w.2004,NONAME,TS,NN,14.5,136.8,25,1002,154,2,154,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,B,B,120,1004,NaN,NaN,40,NaN,
2004021518,01w.2004,NONAME,TS,NN,14.3,136.1,25,1002,240,5,240,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,B,B,120,1004,NaN,NaN,60,NaN,
2004021600,01w.2004,NONAME,TS,NN,13.3,135.8,25,1002,219,8,219,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,B,B,120,1004,NaN,NaN,60,NaN,
2004021606,01w.2004,NONAME,TS,NN,11.9,135.7,25,1002,189,12,189,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,B,B,120,1004,NaN,NaN,60,NaN,
