stmid,tctype,stmtype,sname,maxv,ndtc,ndstm,blat,blon,bdtg,edtg,minlat,maxlat,minlon,maxlon,stcd,ace,nri,ned,nrw,ricode,9x,9xid,t2gen,gendtg,wncode,
01w.2022,TD,NN,ONE,30,0.8,4.2,11.2,112.2,2022032800,2022040106,6.5,15.1,105.0,120.7,0.2,0.0,0,0,0,NaN,9X,a3w,60,2022033012,wn,
02w.2022,TY,NN,MALAKAS,115,8.8,13.8,11.2,145.6,2022040206,2022041600,3.3,34.4,135.1,161.9,8.9,10.4,4,0,5,ddRI,9X,a5w,114,2022040700,wn,
03w.2022,TS,NN,MEGI,40,2.2,14.0,9.3,133.4,2022033006,2022041306,6.1,11.5,124.0,155.5,0.8,0.2,0,0,0,NaN,9X,a4w,234,2022040900,wn,
04w.2022,TY,NN,CHABA,75,4.2,8.5,18.3,116.3,2022062518,2022070406,13.7,26.5,110.6,130.4,2.9,2.3,0,0,3,ddRW,9X,b7w,96,2022062918,wn,
05w.2022,TS,NN,AERE,45,6.2,14.0,27.2,135.5,2022062700,2022071100,5.8,43.0,126.5,146.2,3.7,1.3,0,0,0,NaN,9X,b8w,84,2022063012,wn,
06w.2022,TD,NN,SONGDA,30,3.2,5.5,32.0,127.6,2022072800,2022080212,21.6,39.2,123.0,138.7,1.1,0.0,0,0,0,NaN,9X,c4w,24,2022072900,wn,
07w.2022,TD,NN,TRASES,30,0.8,4.5,24.8,128.5,2022072800,2022080112,18.7,35.6,126.1,130.8,0.2,0.0,0,0,0,NaN,9X,c5w,96,2022080100,wn,
08w.2022,TD,NN,EIGHT,25,0.2,3.2,20.5,117.2,2022080106,2022080412,17.2,23.2,112.8,119.6,0.1,0.0,0,0,0,NaN,9X,c6w,66,2022080400,wn,
09w.2022,TS,NN,MEARI,40,3.0,5.8,30.6,140.3,2022080818,2022081412,22.7,43.6,135.8,149.2,1.6,0.8,0,0,0,NaN,9X,c0w,60,2022081106,wn,
10w.2022,TS,NN,MA-ON,60,4.2,9.8,17.2,125.8,2022081612,2022082606,9.0,22.0,102.7,147.1,3.1,2.3,0,0,1,ddRW,9X,d3w,120,2022082112,wn,
11w.2022,TY,NN,TOKAGE,95,3.5,5.2,32.7,152.1,2022082100,2022082606,21.5,48.8,148.5,165.7,4.2,4.4,3,0,4,ddRI,9X,d9w,30,2022082206,wn,
12w.2022,STY,NN,HINNAMNOR,140,9.2,12.0,26.5,135.3,2022082518,2022090618,21.0,47.1,124.5,155.0,14.7,23.5,7,4,8,ddED,9X,d0w,60,2022082806,wn,
13w.2022,TD,NN,THIRTEEN,30,1.5,7.8,20.8,135.9,2022082406,2022090100,19.2,24.2,129.4,142.5,0.4,0.0,0,0,0,NaN,9X,d8w,156,2022083018,wn,
14w.2022,TY,NN,MUIFA,115,10.2,12.5,24.6,129.4,2022090400,2022091612,17.1,40.8,120.5,145.8,9.9,11.5,4,0,6,ddRI,9X,z0w,60,2022090612,wn,
15w.2022,TY,NN,MERBOK,70,5.5,7.5,26.7,162.0,2022090806,2022091518,20.6,48.3,158.0,170.0,3.9,3.3,0,0,0,NaN,9X,e3w,60,2022091018,wn,
16w.2022,STY,NN,NANMADOL,135,7.0,14.2,25.5,139.2,2022090518,2022092000,20.7,38.5,130.4,147.9,8.2,11.6,6,4,6,ddED,9X,e2w,168,2022091218,wn,
