stmid,tctype,stmtype,sname,maxv,ndtc,ndstm,blat,blon,bdtg,edtg,minlat,maxlat,minlon,maxlon,stcd,ace,nri,ned,nrw,ricode,9x,9xid,t2gen,gendtg,wncode,
01w.2013,TS,NN,SONAMU,40,4.8,7.0,7.2,118.4,2013010100,2013010800,5.0,9.0,108.4,140.7,2.2,1.2,0,0,0,NaN,9X,z1w,60,2013010312,wn,
02w.2013,TD,NN,SHANSHAN,25,1.5,9.2,5.7,128.3,2013021400,2013022306,2.2,8.2,109.3,149.6,0.3,0.0,0,0,0,NaN,9X,a8w,120,2013021900,wn,
03w.2013,TS,NN,YAGI,55,5.0,9.8,24.0,134.9,2013060518,2013061512,9.3,32.6,129.0,141.1,2.6,1.5,0,0,0,NaN,9X,b8w,66,2013060812,wn,
04w.2013,TS,NN,LEEPI,35,3.0,5.2,19.6,126.5,2013061518,2013062100,10.0,32.0,124.9,129.1,1.4,0.6,0,0,0,NaN,9X,b1w,48,2013061718,wn,
05w.2013,TS,NN,BEBINCA,35,3.5,5.5,17.4,112.7,2013061812,2013062400,12.5,21.1,105.5,117.8,0.9,0.2,0,0,0,NaN,9X,c4w,48,2013062012,wn,
06w.2013,TY,NN,RUMBIA,70,4.5,6.0,14.2,121.5,2013062612,2013070212,7.7,24.0,108.2,132.7,2.5,1.8,0,0,1,ddRW,9X,c9w,36,2013062800,wn,
07w.2013,TY,NN,SOULIK,125,7.0,9.2,22.4,135.5,2013070512,2013071418,19.1,31.7,116.7,158.0,8.3,11.3,8,1,6,ddED,9X,c2w,54,2013070718,wn,
08w.2013,TS,NN,CIMARON,40,3.5,6.2,15.5,125.8,2013071218,2013071900,7.1,25.3,117.3,137.5,1.5,0.7,0,0,0,NaN,9X,d3w,72,2013071518,wn,
09w.2013,TS,NN,JEBI,60,3.8,9.8,13.5,118.4,2013072506,2013080400,5.4,24.2,101.0,131.7,2.4,1.6,0,0,2,ddRW,9X,d1w,138,2013073100,wn,
10w.2013,TS,NN,MANGKHUT,45,2.5,6.8,11.9,119.4,2013080112,2013080806,5.5,21.0,103.6,137.6,1.0,0.5,0,0,0,NaN,9X,e4w,102,2013080518,wn,
11w.2013,STY,NN,UTOR,130,7.0,10.5,18.3,121.2,2013080706,2013081718,12.0,25.9,109.1,138.9,8.4,10.6,8,1,6,ddED,9X,e6w,36,2013080818,wn,
12w.2013,TY,NN,TRAMI,75,5.8,9.0,23.3,124.1,2013081400,2013082300,19.4,28.0,113.5,128.6,3.8,3.1,0,0,3,ddRW,9X,e8w,72,2013081700,wn,
13w.2013,TD,NN,THIRTEEN,30,2.2,3.2,27.4,127.1,2013081600,2013081906,24.1,29.0,121.3,134.0,0.6,0.0,0,0,0,NaN,9X,e9w,24,2013081700,wn,
14w.2013,TS,NN,KONG-REY,50,4.8,7.5,18.4,126.3,2013082306,2013083018,5.6,32.0,122.2,133.9,2.5,1.5,0,0,0,NaN,9X,e1w,66,2013082600,wn,
15w.2013,TS,NN,TORAJI,50,3.0,5.8,28.7,127.9,2013083018,2013090512,24.7,34.2,120.4,137.8,1.8,1.1,0,0,0,NaN,9X,f6w,42,2013090112,wn,
16w.2013,TS,NN,MAN-YI,60,4.2,6.5,24.9,142.0,2013091000,2013091612,18.1,40.9,134.3,151.8,2.6,1.7,0,0,0,NaN,9X,g7w,66,2013091218,wn,
17w.2013,STY,NN,USAGI,135,6.2,9.0,19.3,125.4,2013091412,2013092312,16.9,25.4,110.2,132.4,8.8,13.6,8,2,6,ddED,9X,g9w,54,2013091618,wn,
18w.2013,TD,NN,EIGHTEEN,25,0.5,3.5,16.0,112.0,2013091506,2013091818,15.2,16.4,108.4,114.5,0.1,0.0,0,0,0,NaN,9X,g0w,72,2013091806,wn,
19w.2013,TY,NN,PABUK,90,6.0,13.2,20.2,146.4,2013091318,2013092700,12.4,39.9,138.6,153.2,6.2,6.7,0,0,1,ddRW,9X,g8w,174,2013092100,wn,
20w.2013,TY,NN,WUTIP,100,4.5,9.0,17.0,111.6,2013092306,2013100206,14.8,19.6,94.2,118.6,4.4,4.9,2,0,5,ddRI,9X,h3w,84,2013092618,wn,
21w.2013,TS,NN,SEPAT,40,3.0,6.8,27.7,150.1,2013092606,2013100300,19.9,44.0,141.3,159.5,1.6,0.9,0,0,0,NaN,9X,h6w,90,2013093000,wn,
22w.2013,TY,NN,FITOW,90,6.5,11.5,17.7,130.5,2013092600,2013100712,9.7,28.4,117.4,138.9,6.9,7.5,1,0,4,ddRI,9X,i5w,102,2013093006,wn,
23w.2013,TY,NN,DANAS,120,5.5,8.5,20.9,142.0,2013093006,2013100818,15.9,35.6,127.0,154.0,5.9,7.6,5,0,4,ddRI,9X,h7w,78,2013100312,wn,
24w.2013,TY,NN,NARI,100,6.8,9.0,15.0,120.0,2013100706,2013101606,12.9,16.0,102.6,135.5,7.7,9.0,5,0,4,ddRI,9X,h1w,36,2013100818,wn,
25w.2013,TY,NN,WIPHA,120,5.5,9.2,19.6,142.4,2013100706,2013101612,11.8,45.0,133.9,153.4,6.9,8.8,4,0,4,ddRI,9X,j2w,78,2013101012,wn,
26w.2013,STY,NN,FRANCISCO,140,10.0,12.0,19.3,139.2,2013101400,2013102600,10.9,31.8,129.8,152.3,13.2,20.4,8,4,3,ddED,9X,i3w,48,2013101600,wn,
27w.2013,TD,NN,TWENTYSEV,30,3.8,5.5,22.2,148.8,2013101618,2013102206,13.8,31.9,142.4,153.3,0.9,0.0,0,0,0,NaN,9X,i4w,60,2013101906,wn,
28w.2013,STY,NN,LEKIMA,140,5.8,8.2,18.2,155.2,2013101806,2013102612,9.2,39.6,144.3,165.3,9.1,15.9,9,4,3,ddED,9X,j5w,54,2013102012,wn,
29w.2013,TY,NN,KROSA,105,6.8,9.5,16.5,126.6,2013102606,2013110418,10.0,20.2,108.8,149.0,6.2,7.1,5,0,7,ddRI,9X,z0w,66,2013102900,wn,
30w.2013,TS,NN,THIRTY,35,12.8,22.8,10.8,95.5,2013103018,2013112212,6.4,13.8,54.2,146.7,3.3,0.2,0,0,0,NaN,9X,i8w,84,2013110306,wn,
31w.2013,STY,NN,HAIYAN,170,8.2,10.0,10.0,136.2,2013110106,2013111106,5.4,23.2,107.3,164.2,11.3,22.6,8,4,7,ddED,9X,i9w,48,2013110306,wn,
32w.2013,TD,NN,PODUL,30,2.2,7.5,7.4,126.4,2013110806,2013111518,1.1,14.0,101.6,144.3,0.4,0.0,0,0,0,NaN,9X,i0w,150,2013111412,wn,
33w.2013,TD,NN,THIRTYTHR,30,0.8,3.0,14.9,139.0,2013120118,2013120418,13.3,15.8,138.1,140.1,0.3,0.0,0,0,0,NaN,9X,j4w,42,2013120312,wn,
a0w.2013,TD,NONdev,9X-A0W,15,0.0,5.5,3.8,140.4,2013032512,2013033100,2.3,5.4,137.0,144.0,0.0,0.0,0,0,0,NaN,9X,a0w,NaN,NaN,NaN,
a1w.2013,TD,NONdev,9X-A1W,20,0.0,3.2,10.1,98.6,2013041418,2013041800,8.5,12.5,96.1,104.5,0.0,0.0,0,0,0,NaN,9X,a1w,NaN,NaN,NaN,
a3w.2013,TD,NONdev,9X-A3W,25,0.0,3.0,6.1,133.2,2012123112,2013010312,3.4,9.3,119.4,145.4,0.1,0.0,0,0,0,NaN,9X,a3w,NaN,NaN,NaN,
a4w.2013,TD,NONdev,9X-A4W,20,0.0,8.5,7.2,129.0,2013010418,2013011306,2.9,17.3,124.0,137.0,0.0,0.0,0,0,0,NaN,9X,a4w,NaN,NaN,NaN,
a5w.2013,TD,NONdev,9X-A5W,15,0.0,0.8,5.5,140.7,2013010812,2013010906,4.1,6.4,138.8,141.5,0.0,0.0,0,0,0,NaN,9X,a5w,NaN,NaN,NaN,
a6w.2013,TD,NONdev,9X-A6W,15,0.0,10.8,6.7,127.3,2013012418,2013020412,4.7,8.5,126.0,128.6,0.0,0.0,0,0,0,NaN,9X,a6w,NaN,NaN,NaN,
a7w.2013,TD,NONdev,9X-A7W,15,0.0,1.0,4.6,128.8,2013020800,2013020900,3.8,5.9,127.6,129.6,0.0,0.0,0,0,0,NaN,9X,a7w,NaN,NaN,NaN,
a8w.2013,TD,DEV,9X-A8W,15,0.0,4.8,5.1,139.6,2013021400,2013021818,2.2,7.9,128.9,149.6,0.0,0.0,0,0,0,NaN,NN,02w,NaN,NaN,NaN,
a9w.2013,TD,NONdev,9X-A9W,15,0.0,9.8,6.5,138.8,2013031400,2013032318,3.7,9.2,115.7,152.3,0.0,0.0,0,0,0,NaN,9X,a9w,NaN,NaN,NaN,
b0w.2013,TD,NONdev,9X-B0W,15,0.0,1.8,23.9,154.1,2013061400,2013061518,22.8,25.7,150.9,156.3,0.0,0.0,0,0,0,NaN,9X,b0w,NaN,NaN,NaN,
b1w.2013,TD,DEV,9X-B1W,20,0.0,1.8,12.6,127.5,2013061518,2013061712,10.0,14.5,126.9,129.1,0.0,0.0,0,0,0,NaN,NN,04w,NaN,NaN,NaN,
b2w.2013,TD,NONdev,9X-B2W,15,0.0,1.8,16.4,112.4,2013061600,2013061718,14.6,18.1,108.7,116.6,0.0,0.0,0,0,0,NaN,9X,b2w,NaN,NaN,NaN,
b3w.2013,TD,NONdev,9X-B3W,15,0.0,0.8,18.4,117.6,2013050218,2013050312,16.0,19.8,114.8,119.3,0.0,0.0,0,0,0,NaN,9X,b3w,NaN,NaN,NaN,
b4w.2013,TD,NONdev,9X-B4W,15,0.0,0.8,6.4,131.4,2013052806,2013052900,6.4,6.5,130.4,132.4,0.0,0.0,0,0,0,NaN,9X,b4w,NaN,NaN,NaN,
b5w.2013,TD,NONdev,9X-B5W,15,0.0,2.5,6.0,136.1,2013053018,2013060206,4.3,7.6,132.6,141.1,0.0,0.0,0,0,0,NaN,9X,b5w,NaN,NaN,NaN,
b6w.2013,TD,NONdev,9X-B6W,15,0.0,2.0,3.8,148.8,2013060218,2013060418,3.0,4.3,147.6,150.0,0.0,0.0,0,0,0,NaN,9X,b6w,NaN,NaN,NaN,
b7w.2013,TD,NONdev,9X-B7W,15,0.0,0.8,4.0,129.6,2013060406,2013060500,3.9,4.5,128.4,130.5,0.0,0.0,0,0,0,NaN,9X,b7w,NaN,NaN,NaN,
b8w.2013,TD,DEV,9X-B8W,20,0.0,2.5,13.9,130.0,2013060518,2013060806,9.3,17.6,129.4,131.6,0.0,0.0,0,0,0,NaN,NN,03w,NaN,NaN,NaN,
b9w.2013,TD,NONdev,9X-B9W,20,0.0,4.5,17.7,113.1,2013061112,2013061600,14.0,21.1,108.6,115.7,0.0,0.0,0,0,0,NaN,9X,b9w,NaN,NaN,NaN,
c0w.2013,TD,NONdev,9X-C0W,15,0.0,1.2,4.9,136.5,2013063000,2013070106,4.3,5.6,134.8,139.0,0.0,0.0,0,0,0,NaN,9X,c0w,NaN,NaN,NaN,
c1w.2013,TD,NONdev,9X-C1W,15,0.0,0.8,13.3,118.5,2013070312,2013070406,13.2,13.5,116.8,119.3,0.0,0.0,0,0,0,NaN,9X,c1w,NaN,NaN,NaN,
c2w.2013,TD,DEV,9X-C2W,20,0.0,2.0,19.8,153.5,2013070512,2013070712,19.4,20.1,148.4,158.0,0.0,0.0,0,0,0,NaN,NN,07w,NaN,NaN,NaN,
