stmid,tctype,stmtype,sname,maxv,ndtc,ndstm,blat,blon,bdtg,edtg,minlat,maxlat,minlon,maxlon,stcd,ace,nri,ned,nrw,ricode,9x,9xid,t2gen,gendtg,wncode,
01w.1984,TS,NN,VERNON,40,3.2,3.2,14.3,111.3,1984060718,1984061100,11.9,16.4,107.1,114.8,1.2,0.4,0,0,0,NaN,9X,w01,30,1984060900,wn,
02w.1984,TS,NN,WYNNE,60,7.8,7.8,21.8,124.3,1984061806,1984062600,20.5,22.4,107.0,135.1,4.9,3.6,0,0,1,ddRW,9X,w02,24,1984061906,wn,
03w.1984,TY,NN,ALEX,75,4.2,4.2,23.7,123.1,1984070100,1984070506,16.1,35.4,120.9,127.2,3.2,2.7,0,0,0,NaN,9X,w03,NaN,NaN,wn,
04w.1984,TS,NN,BETTY,55,4.5,5.0,18.0,117.4,1984070418,1984070918,14.5,22.7,108.5,126.3,2.2,1.2,0,0,1,ddRW,9X,w04,42,1984070612,wn,
05w.1984,TY,NN,CARY,90,8.5,9.0,22.5,148.0,1984070506,1984071406,16.5,31.0,144.5,152.9,7.1,7.0,2,0,0,rrRI,9X,w05,42,1984070700,wn,
06w.1984,TY,NN,DINAH,125,10.5,11.0,25.0,156.9,1984072118,1984080118,19.3,42.8,150.2,177.2,10.0,12.1,3,0,5,ddRI,9X,w06,60,1984072406,wn,
07w.1984,TY,NN,ED,100,8.0,8.0,30.1,130.4,1984072506,1984080206,25.6,35.0,119.4,140.7,6.7,6.6,1,0,6,ddRI,9X,w07,12,1984072518,wn,
08w.1984,TS,NN,FREDA,55,4.0,5.8,23.5,122.9,1984080400,1984080918,11.3,36.9,115.1,132.4,2.0,1.2,0,0,1,ddRW,9X,w08,42,1984080518,bt,
09w.1984,TD,NN,NONAME,30,3.0,4.2,16.6,127.2,1984080912,1984081318,9.4,20.5,118.9,133.6,0.8,0.0,0,0,0,NaN,9X,w09,48,1984081112,wn,
10w.1984,TS,NN,GERALD,55,6.2,6.2,19.8,114.9,1984081512,1984082118,18.1,25.4,112.0,119.1,4.3,3.2,0,0,0,NaN,9X,w10,12,1984081600,wn,
11w.1984,TY,NN,HOLLY,75,7.5,7.5,26.3,130.0,1984081412,1984082200,19.3,38.4,126.1,137.6,6.4,6.0,0,0,0,NaN,9X,w11,36,1984081600,wn,
12w.1984,TD,NN,NONAME,20,0.0,2.0,20.7,138.3,1984082300,1984082500,19.1,23.3,133.0,142.7,0.0,0.0,0,0,0,NaN,9X,w12,24,1984082400,wn,
13w.1984,TY,NN,IKE,125,11.2,11.5,13.0,129.0,1984082600,1984090612,8.2,22.9,107.2,146.0,11.9,14.3,9,0,9,ddRI,9X,w13,24,1984082700,wn,
14w.1984,TS,NN,JUNE,60,3.0,3.0,19.9,119.7,1984082800,1984083100,17.7,24.1,116.0,125.3,2.4,1.9,0,0,1,ddRW,9X,w14,6,1984082806,wn,
15w.1984,TY,NN,KELLY,75,5.0,5.0,27.5,169.6,1984091300,1984091800,20.6,35.6,165.3,172.1,3.9,3.4,0,0,2,ddRW,9X,w15,18,1984091318,wn,
16w.1984,TS,NN,LYNN,40,3.2,3.8,16.8,111.6,1984092400,1984092718,15.4,18.6,107.4,115.7,1.1,0.2,0,0,0,NaN,9X,w16,6,1984092406,wn,
17w.1984,TS,NN,MAURY,60,3.5,3.5,27.3,150.8,1984092712,1984100100,24.1,36.0,149.1,152.3,2.8,2.2,0,0,0,NaN,9X,w17,12,1984092800,wn,
18w.1984,TS,NN,NINA,55,4.0,4.0,27.4,143.7,1984092712,1984100112,22.3,35.1,140.6,156.0,2.3,1.5,0,0,0,NaN,9X,w18,12,1984092800,wn,
19w.1984,TY,NN,OGDEN,70,2.8,2.8,25.8,156.4,1984100700,1984100918,18.1,33.9,152.1,165.5,2.1,1.7,0,0,0,NaN,9X,w19,NaN,NaN,wn,
20w.1984,TY,NN,PHYLLIS,80,4.5,4.5,23.1,151.8,1984100912,1984101400,18.4,33.8,151.2,152.6,3.2,2.8,2,0,2,ddRI,9X,w20,36,1984101100,wn,
21w.1984,TS,NN,ROY,35,2.0,3.2,13.9,142.9,1984100918,1984101300,9.3,20.0,140.1,144.6,0.6,0.1,0,0,0,NaN,9X,w21,30,1984101100,wn,
22w.1984,TS,NN,SUSAN,40,1.5,1.8,12.3,111.1,1984101106,1984101300,11.4,13.6,106.9,116.2,0.6,0.2,0,0,0,NaN,9X,w22,12,1984101118,wn,
23w.1984,TD,NN,NONAME,25,0.8,1.2,9.0,148.2,1984101618,1984101800,7.6,10.3,146.2,150.2,0.2,0.0,0,0,0,NaN,9X,w23,12,1984101706,wn,
24w.1984,TY,NN,THAD,120,5.8,5.8,22.2,149.3,1984101806,1984102400,8.7,35.5,143.7,165.6,6.8,9.7,7,0,4,ddRI,9X,w24,18,1984101900,wn,
25w.1984,STY,NN,VANESSA,155,8.2,8.2,16.4,140.4,1984102200,1984103006,7.5,30.2,129.3,159.2,12.0,21.7,10,0,2,ddRI,9X,w25,18,1984102218,wn,
26w.1984,TY,NN,WARREN,65,9.2,9.2,14.4,115.5,1984102300,1984110106,11.1,15.7,110.8,118.4,6.6,5.4,0,0,0,NaN,9X,w26,18,1984102318,wn,
27w.1984,TY,NN,AGNES,120,8.5,9.0,9.8,128.0,1984103012,1984110812,3.0,16.3,104.0,146.1,9.5,12.8,5,0,7,ddRI,9X,w27,42,1984110106,wn,
28w.1984,STY,NN,BILL,130,14.0,14.0,15.4,136.5,1984110800,1984112200,12.5,20.3,122.4,153.9,15.0,20.2,3,0,2,ddRI,9X,w28,18,1984110818,wn,
29w.1984,TY,NN,CLARA,110,7.5,7.5,14.0,141.2,1984111400,1984112112,5.4,27.1,132.4,156.4,8.4,11.0,5,0,5,ddRI,9X,w29,6,1984111406,wn,
30w.1984,TY,NN,DOYLE,125,7.5,9.0,13.4,135.9,1984120206,1984121106,6.3,24.8,129.9,149.2,7.3,9.4,5,0,5,ddRI,9X,w30,60,1984120418,wn,
01l.1984,TD,NN,UNNAMED,30,2.5,2.5,29.1,281.5,1984061112,1984061400,28.0,30.2,278.2,284.5,0.6,0.0,0,0,0,NaN,9X,l01,NaN,NaN,NaN,
02l.1984,TD,NN,UNNAMED,30,1.5,1.8,21.5,263.6,1984061812,1984062006,20.5,22.7,261.5,266.0,0.4,0.0,0,0,0,NaN,9X,l02,NaN,NaN,NaN,
