stmid,tctype,stmtype,sname,maxv,ndtc,ndstm,blat,blon,bdtg,edtg,minlat,maxlat,minlon,maxlon,stcd,ace,nri,ned,nrw,ricode,9x,9xid,t2gen,gendtg,wncode,
01w.2011,TD,NN,ONE,30,1.2,3.5,9.0,112.0,2011033106,2011040318,8.3,9.5,111.4,113.5,0.3,0.0,0,0,0,NaN,9X,a6w,42,2011040200,wn,
02w.2011,TD,NN,TWO,30,1.2,3.5,12.9,136.6,2011040212,2011040600,9.5,17.7,130.5,146.9,0.3,0.0,0,0,0,NaN,9X,a5w,60,2011040500,wn,
03w.2011,TS,NN,AERE,50,6.0,9.8,15.2,128.3,2011050212,2011051206,5.6,32.8,122.0,138.4,3.3,2.1,0,0,0,NaN,9X,b3w,90,2011050606,wn,
04w.2011,STY,NN,SONGDA,140,9.2,14.8,13.4,136.2,2011051506,2011053000,5.1,34.9,123.1,150.7,10.7,16.0,5,0,9,ddRI,9X,b8w,120,2011052006,wn,
05w.2011,TD,NN,SARIKA,30,3.0,5.0,15.0,120.9,2011060606,2011061106,6.1,25.1,116.9,126.9,0.8,0.0,0,0,0,NaN,9X,c2w,66,2011060900,wn,
06w.2011,TS,NN,HAIMA,35,8.5,11.5,15.7,119.2,2011061406,2011062518,5.2,21.4,101.8,131.9,2.6,0.5,0,0,0,NaN,9X,c7w,60,2011061618,wn,
07w.2011,TS,NN,MEARI,55,6.0,11.8,18.5,132.2,2011061606,2011062800,6.1,40.9,122.7,148.1,2.8,1.6,0,0,0,NaN,9X,c9w,132,2011062118,wn,
08w.2011,TY,NN,MA-ON,115,10.5,15.8,23.2,147.9,2011070612,2011072206,17.4,33.6,132.8,165.5,11.5,15.0,5,0,1,ddRI,9X,f0w,120,2011071112,wn,
09w.2011,TD,NN,TOKAGE,30,1.0,6.0,16.1,134.1,2011071006,2011071606,13.9,19.9,132.1,141.0,0.2,0.0,0,0,0,NaN,9X,e2w,120,2011071506,wn,
10w.2011,TY,NN,NOCK-TEN,65,6.0,8.5,14.9,121.9,2011072200,2011073012,9.0,19.8,105.5,133.0,3.7,2.6,1,0,0,rrRI,9X,e3w,66,2011072418,wn,
11w.2011,STY,NN,MUIFA,140,13.8,18.0,18.1,135.6,2011072200,2011080900,4.3,44.4,123.7,150.1,15.2,20.5,5,3,0,rrED,9X,e4w,84,2011072512,wn,
12w.2011,TY,NN,MERBOK,75,5.5,9.5,28.4,160.7,2011073106,2011080918,22.0,43.3,153.7,173.1,5.1,4.4,0,0,0,NaN,9X,e8w,72,2011080306,wn,
13w.2011,TD,NN,THIRTEEN,30,3.5,7.8,25.6,140.3,2011080706,2011081500,11.2,37.1,136.1,148.7,0.8,0.0,0,0,0,NaN,9X,f2w,66,2011081000,wn,
14w.2011,STY,NN,NANMADOL,140,8.5,12.0,17.0,125.7,2011081900,2011083100,10.4,24.9,118.7,138.1,8.9,13.0,6,3,10,ddED,9X,f6w,90,2011082218,wn,
15w.2011,TS,NN,TALAS,55,10.2,15.2,23.3,139.0,2011082012,2011090418,11.7,36.8,133.8,144.3,7.2,5.3,0,0,0,NaN,9X,f7w,114,2011082506,wn,
16w.2011,TS,NN,NORU,45,3.8,9.8,25.6,151.3,2011082806,2011090700,18.8,44.1,148.2,155.4,1.5,0.6,0,0,0,NaN,9X,f8w,144,2011090306,wn,
17w.2011,TS,NN,KULAP,40,2.8,6.5,22.5,132.3,2011090318,2011091006,16.9,31.6,127.3,135.7,1.0,0.4,0,0,0,NaN,9X,h0w,84,2011090706,wn,
18w.2011,TY,NN,ROKE,115,10.2,15.0,24.8,137.0,2011090700,2011092200,18.8,43.8,129.5,149.5,7.7,8.2,4,0,4,ddRI,9X,g1w,108,2011091112,wn,
19w.2011,TY,NN,SONCA,90,6.5,9.8,25.2,152.1,2011091100,2011092018,15.0,42.5,142.5,169.8,5.3,5.1,1,0,1,ddRI,9X,g4w,90,2011091418,wn,
20w.2011,TY,NN,NESAT,115,7.5,8.8,16.2,124.3,2011092200,2011093018,11.1,21.3,105.7,141.6,7.1,7.8,1,0,2,ddRI,9X,g8w,36,2011092312,wn,
21w.2011,TS,NN,HAITANG,35,2.8,7.8,17.6,113.0,2011091912,2011092706,15.1,19.4,106.4,119.0,0.9,0.2,0,0,0,NaN,9X,g7w,120,2011092412,wn,
22w.2011,STY,NN,NALGAE,130,8.8,9.2,17.9,123.1,2011092612,2011100518,16.3,19.0,106.6,138.5,7.1,8.0,4,0,5,ddRI,9X,g9w,18,2011092706,wn,
23w.2011,TD,NN,BANYAN,30,4.2,9.0,10.9,129.8,2011100606,2011101506,6.5,20.7,116.9,147.1,1.1,0.0,0,0,0,NaN,9X,h2w,90,2011101000,wn,
24w.2011,TD,NN,TWENTYFOU,25,1.0,7.5,12.5,112.9,2011110212,2011111000,8.8,17.3,109.2,116.9,0.2,0.0,0,0,0,NaN,9X,h8w,114,2011110706,wn,
25w.2011,TD,NN,TWENTYFIV,25,1.0,3.2,7.9,112.4,2011120212,2011120518,5.8,11.8,109.3,114.7,0.4,0.0,0,0,0,NaN,9X,i3w,48,2011120412,wn,
26w.2011,TD,NN,TWENTYSIX,25,1.5,6.0,9.5,114.4,2011120812,2011121412,5.4,12.9,108.5,120.6,0.2,0.0,0,0,0,NaN,9X,i4w,90,2011121206,wn,
27w.2011,TS,NN,WASHI,50,7.0,7.8,7.6,131.4,2011121118,2011121912,3.4,10.5,110.7,155.9,3.1,1.7,0,0,0,NaN,9X,i5w,36,2011121306,wn,
a0w.2011,TD,NONdev,9X-A0W,15,0.0,3.8,7.4,126.2,2011013006,2011020300,3.4,9.9,123.2,129.3,0.0,0.0,0,0,0,NaN,9X,a0w,NaN,NaN,NaN,
a1w.2011,TD,NONdev,9X-A1W,15,0.0,10.2,7.7,126.6,2011022218,2011030500,5.7,10.9,109.4,146.2,0.0,0.0,0,0,0,NaN,9X,a1w,NaN,NaN,NaN,
a2w.2011,TD,NONdev,9X-A2W,15,0.0,6.2,10.9,150.9,2011022806,2011030612,9.5,11.8,148.0,153.5,0.0,0.0,0,0,0,NaN,9X,a2w,NaN,NaN,NaN,
a3w.2011,TD,NONdev,9X-A3W,15,0.0,2.0,6.5,153.1,2011030418,2011030618,6.5,6.5,151.3,154.8,0.0,0.0,0,0,0,NaN,9X,a3w,NaN,NaN,NaN,
a4w.2011,TD,NONdev,9X-A4W,15,0.0,5.2,4.8,130.0,2011032206,2011032712,3.0,6.4,125.9,137.2,0.0,0.0,0,0,0,NaN,9X,a4w,NaN,NaN,NaN,
a5w.2011,TD,DEV,9X-A5W,20,0.0,2.2,11.4,133.3,2011040212,2011040418,9.6,14.0,129.9,137.8,0.0,0.0,0,0,0,NaN,NN,02w,NaN,NaN,NaN,
a6w.2011,TD,DEV,9X-A6W,20,0.0,1.5,8.9,112.1,2011033106,2011040118,8.3,9.2,111.4,113.5,0.0,0.0,0,0,0,NaN,NN,01w,NaN,NaN,NaN,
a7w.2011,TD,NONdev,9X-A7W,20,0.0,4.0,7.5,114.3,2011040318,2011040718,6.2,8.7,112.4,116.4,0.0,0.0,0,0,0,NaN,9X,a7w,NaN,NaN,NaN,
a8w.2011,TD,NONdev,9X-A8W,15,0.0,1.0,7.3,138.9,2011041006,2011041106,7.0,7.6,138.4,139.4,0.0,0.0,0,0,0,NaN,9X,a8w,NaN,NaN,NaN,
a9w.2011,TD,NONdev,9X-A9W,15,0.0,2.0,10.6,146.6,2011041006,2011041206,9.8,12.4,144.9,149.1,0.0,0.0,0,0,0,NaN,9X,a9w,NaN,NaN,NaN,
