dtg,stmid,sname,tcvmax,tctype,rlat,rlon,vmax,pmin,dir,spd,trkdir,trkspd,r34m,r34ne,r34se,r34sw,r34nw,r50m,r50ne,r50se,r50sw,r50nw,tccode,wncode,dirtype,posttype,roci,poci,alf,depth,rmax,tdo,
2011033106,a6w.2011,9X-A6W,TD,NN,9.1,112.9,15,1010,251,5,251,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DB,NW,b,b,NaN,NaN,NaN,NaN,NaN,NaN,
2011033112,a6w.2011,9X-A6W,TD,NN,8.3,113.5,15,1010,251,5,251,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DB,NW,b,b,NaN,NaN,NaN,NaN,NaN,NaN,
2011033118,a6w.2011,9X-A6W,TD,NN,8.8,112.0,15,1010,251,5,251,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DB,NW,b,b,NaN,NaN,NaN,NaN,NaN,NaN,
2011040100,a6w.2011,9X-A6W,TD,NN,8.9,111.8,15,1010,243,1,290,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DB,NW,B,B,NaN,NaN,NaN,NaN,NaN,NaN,
2011040106,a6w.2011,9X-A6W,TD,NN,8.7,111.7,20,1007,243,1,251,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DB,NW,B,B,NaN,NaN,NaN,NaN,NaN,NaN,
2011040112,a6w.2011,9X-A6W,TD,NN,8.8,111.6,20,1007,243,1,243,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DB,NW,B,B,NaN,NaN,NaN,NaN,NaN,NaN,
2011040118,a6w.2011,9X-A6W,TD,NN,8.8,111.7,20,1005,360,0,360,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DB,NW,B,B,150,1008,NaN,S,45,NaN,
2011040200,01w.2011,ONE,TD,NN,9.0,111.5,25,1004,334,1,334,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,B,B,150,1008,NaN,S,45,SJB,
2011040206,01w.2011,ONE,TD,NN,9.3,111.4,25,1004,329,3,329,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,B,B,150,1008,NaN,S,40,RCB,
2011040212,01w.2011,ONE,TD,NN,9.5,111.6,30,1000,11,3,11,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,B,B,140,1008,NaN,S,30,RCB,
2011040218,01w.2011,ONE,TD,NN,9.5,111.8,30,1000,63,2,63,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,B,B,150,1006,NaN,S,45,SJB,
2011040300,01w.2011,ONE,TD,NN,9.3,111.8,25,1004,135,1,135,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,B,B,150,1006,NaN,S,45,SJB,
2011040306,01w.2011,ONE,TD,NN,9.0,111.9,20,1007,169,3,169,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DB,WN,B,B,150,1006,NaN,S,45,RCB,
2011040312,01w.2011,ONE,TD,NN,8.8,112.1,20,1007,149,3,149,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DB,NW,B,B,120,1008,NaN,S,30,NaN,
2011040318,01w.2011,ONE,TD,NN,8.7,112.5,15,1010,117,3,117,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DB,NW,B,B,NaN,NaN,NaN,NaN,NaN,NaN,
2011040212,a5w.2011,9X-A5W,TD,NN,10.2,130.5,20,1007,145,4,145,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DB,NW,B,B,NaN,NaN,NaN,NaN,NaN,NaN,
2011040218,a5w.2011,9X-A5W,TD,NN,9.7,130.5,20,1004,145,4,145,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DB,NW,B,B,150,1008,NaN,S,45,NaN,
2011040300,a5w.2011,9X-A5W,TD,NN,9.5,131.0,20,1004,145,4,145,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DB,NW,B,B,150,1008,NaN,S,45,NaN,
2011040306,a5w.2011,9X-A5W,TD,NN,9.5,131.8,20,1007,99,6,99,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DB,NW,B,B,150,1008,NaN,S,45,NaN,
2011040312,a5w.2011,9X-A5W,TD,NN,10.2,132.6,20,1007,66,9,66,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DB,NW,B,B,150,1008,NaN,S,45,NaN,
2011040318,a5w.2011,9X-A5W,TD,NN,10.9,133.5,20,1004,50,11,50,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DB,NW,B,B,150,1008,NaN,S,45,NaN,
2011040400,a5w.2011,9X-A5W,TD,NN,11.6,134.3,20,1005,50,11,50,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DB,NW,B,B,150,1008,NaN,S,45,NaN,
2011040406,a5w.2011,9X-A5W,TD,NN,12.4,135.1,20,1007,46,11,46,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DB,NW,B,B,150,1008,NaN,S,30,NaN,
2011040412,a5w.2011,9X-A5W,TD,NN,13.0,136.3,20,1007,54,12,54,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DB,NW,B,B,150,1008,NaN,S,30,NaN,
2011040418,a5w.2011,9X-A5W,TD,NN,14.0,137.8,25,1004,59,15,59,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,NW,B,B,150,1008,NaN,S,30,NaN,
