stmid,tctype,stmtype,sname,maxv,ndtc,ndstm,blat,blon,bdtg,edtg,minlat,maxlat,minlon,maxlon,stcd,ace,nri,ned,nrw,ricode,9x,9xid,t2gen,gendtg,wncode,
01w.2004,TS,NN,NONAME,40,7.2,8.5,11.4,137.2,2004021018,2004021906,7.8,15.3,132.3,148.0,2.1,0.3,0,0,0,NaN,9X,w01,24,2004021118,wn,
02w.2004,TS,NN,NONAME,35,7.5,9.5,10.7,131.1,2004031400,2004032312,3.0,17.9,124.0,143.3,2.6,0.9,0,0,0,NaN,9X,w02,60,2004031612,wn,
03w.2004,STY,NN,SUDAL,130,13.8,13.8,12.4,141.0,2004040200,2004041518,6.1,26.1,130.9,153.6,17.3,26.5,0,0,3,ddRW,9X,w03,48,2004040400,wn,
04w.2004,STY,NN,NIDA,140,8.0,8.2,16.4,129.6,2004051300,2004052106,7.3,37.7,123.6,146.0,11.1,17.9,11,1,2,ddED,9X,w04,12,2004051312,wn,
05w.2004,TS,NN,NONAME,35,4.5,4.5,9.9,110.5,2004051400,2004051812,9.2,11.0,108.2,113.8,1.2,0.1,0,0,0,NaN,9X,w05,36,2004051512,wn,
06w.2004,TS,NN,OMAIS,60,6.5,7.0,10.6,138.0,2004051500,2004052200,5.2,19.9,132.6,147.5,4.2,3.2,0,0,0,NaN,9X,w06,24,2004051600,wn,
07w.2004,TY,NN,CONSON,100,6.8,7.0,20.1,121.3,2004060406,2004061106,14.8,33.0,116.2,133.9,6.3,7.0,0,0,3,ddRW,9X,w07,12,2004060418,wn,
08w.2004,TY,NN,CHANTHU,75,4.8,7.5,10.4,124.7,2004060512,2004061300,6.4,14.0,106.1,141.7,3.3,2.6,0,0,1,ddRW,9X,w08,84,2004060900,wn,
09w.2004,STY,NN,DIANMU,155,9.2,10.0,17.8,134.7,2004061118,2004062118,6.4,41.5,129.1,140.0,12.3,22.3,7,4,10,ddED,9X,w09,30,2004061300,wn,
10w.2004,TY,NN,MINDULLE,125,11.2,12.5,19.6,129.7,2004062118,2004070406,13.0,34.9,120.9,147.3,11.0,13.8,5,1,5,ddED,9X,w10,36,2004062306,wn,
11w.2004,TY,NN,TINGTING,80,9.2,9.2,22.2,147.8,2004062418,2004070400,11.6,37.8,142.4,157.8,7.1,6.4,0,0,0,NaN,9X,w11,18,2004062512,wn,
12w.2004,TS,NN,KOMPASU,45,4.0,4.2,20.9,122.9,2004071206,2004071612,20.0,23.1,114.3,133.3,1.9,1.0,0,0,0,NaN,9X,w12,24,2004071306,wn,
13w.2004,TY,NN,NAMTHEUN,115,7.5,8.0,29.0,141.9,2004072406,2004080106,20.1,35.6,131.2,150.8,7.7,9.4,6,4,0,rrED,9X,w13,18,2004072500,wn,
14w.2004,TY,NN,MERANTI,90,6.2,6.5,28.4,168.7,2004080218,2004080906,15.8,40.0,165.5,172.7,4.4,4.0,4,1,3,ddED,9X,w14,24,2004080318,wn,
15w.2004,TS,NN,MALOU,35,2.0,3.2,29.0,140.9,2004080200,2004080506,22.3,39.0,134.2,148.0,0.6,0.1,0,0,0,NaN,9X,w15,48,2004080400,wn,
16w.2004,TY,NN,RANANIM,90,6.0,6.0,21.6,127.1,2004080700,2004081300,14.8,28.5,118.9,130.4,5.4,5.6,0,0,1,ddRW,9X,w16,18,2004080718,wn,
17w.2004,TS,NN,MALAKAS,35,2.8,3.0,29.7,162.7,2004081006,2004081306,23.5,34.8,154.3,173.1,0.9,0.3,0,0,0,NaN,9X,w17,12,2004081018,wn,
18w.2004,TY,NN,MEGI,65,6.0,6.0,24.4,132.4,2004081318,2004081918,14.5,40.8,125.0,144.1,3.6,2.5,0,0,0,NaN,9X,w18,6,2004081400,wn,
19w.2004,STY,NN,CHABA,155,13.5,14.5,20.9,145.1,2004081700,2004083112,9.3,46.8,129.8,172.3,19.2,35.7,8,3,5,ddED,9X,w19,42,2004081818,wn,
20w.2004,TY,NN,AERE,90,7.8,8.8,19.1,129.7,2004081718,2004082612,9.2,25.6,115.6,146.5,6.7,6.8,0,0,3,ddRW,9X,w20,42,2004081912,wn,
21w.2004,TD,NN,NONAME,30,2.0,3.0,14.2,150.3,2004082506,2004082806,13.0,16.0,145.4,154.0,0.5,0.0,0,0,0,NaN,9X,w21,24,2004082606,wn,
22w.2004,TY,NN,SONGDA,125,12.2,13.0,20.6,145.8,2004082600,2004090800,10.4,44.7,126.9,170.9,17.0,26.7,4,0,2,ddRI,9X,w22,36,2004082712,wn,
23w.2004,TS,NN,SARIKA,60,3.8,4.2,20.3,143.6,2004090400,2004090806,14.9,27.0,137.3,153.5,2.5,1.9,1,0,1,ddRI,9X,w23,18,2004090418,wn,
24w.2004,TS,NN,HAIMA,35,2.8,2.8,25.3,121.3,2004091018,2004091312,23.0,28.5,119.6,122.2,0.8,0.1,0,0,0,NaN,9X,w24,48,2004091218,wn,
25w.2004,TY,NN,MEARI,125,10.5,11.5,21.3,135.7,2004091812,2004093000,12.6,38.5,124.8,153.4,12.3,17.1,5,0,2,ddRI,9X,w25,36,2004092000,wn,
26w.2004,STY,NN,MA-ON,140,6.2,8.5,21.1,134.8,2004100106,2004100918,14.3,39.1,130.6,145.5,7.2,11.2,5,3,3,ddED,9X,w26,66,2004100400,wn,
27w.2004,TY,NN,TOKAGE,125,9.2,10.5,18.2,138.3,2004101006,2004102018,7.2,37.3,126.9,157.0,11.1,15.6,4,0,1,ddRI,9X,w27,54,2004101212,wn,
28w.2004,TY,NN,NOCK-TEN,110,12.8,12.8,15.0,143.1,2004101318,2004102612,8.5,29.6,121.9,163.5,14.0,18.6,0,0,5,ddRW,9X,w28,6,2004101400,wn,
29w.2004,TY,NN,MUIFA,115,12.2,12.2,12.2,118.3,2004111318,2004112600,8.3,15.9,99.5,133.5,11.3,12.5,4,1,2,ddED,9X,w29,6,2004111400,wn,
30w.2004,STY,NN,NANMADOL,130,6.0,6.0,12.1,133.7,2004112800,2004120400,5.4,22.4,118.3,153.1,7.2,10.5,8,0,6,ddRI,9X,w30,18,2004112818,wn,
31w.2004,TS,NN,TALAS,50,10.5,11.0,11.8,145.2,2004120900,2004122000,5.9,19.9,130.5,177.2,5.2,2.9,0,0,0,NaN,9X,w31,24,2004121000,wn,
32w.2004,TS,NN,NORU,55,4.8,5.2,17.1,150.8,2004121618,2004122200,10.1,26.8,146.4,160.9,2.6,1.7,0,0,0,NaN,9X,w32,24,2004121718,wn,
01l.2004,TY,NN,ALEX,105,6.0,6.0,36.5,291.6,2004073118,2004080618,30.3,47.4,280.6,327.3,5.8,6.7,3,0,4,ddRI,9X,l01,NaN,NaN,wn,
02l.2004,TS,NN,BONNIE,55,9.2,10.5,21.8,281.4,2004080312,2004081400,12.9,39.0,269.4,306.4,3.7,1.6,0,0,0,NaN,9X,l02,NaN,NaN,wn,
03l.2004,TY,NN,CHARLEY,125,6.0,6.0,22.2,285.0,2004080912,2004081512,11.4,41.2,277.1,300.8,5.7,6.4,2,0,6,ddRI,9X,l03,NaN,NaN,wn,
04l.2004,TY,NN,DANIELLE,95,10.2,11.2,25.1,322.9,2004081312,2004082418,12.3,36.4,314.8,338.2,7.4,7.2,4,0,3,ddRI,9X,l04,NaN,NaN,wn,
05l.2004,TS,NN,EARL,45,2.0,2.0,10.5,306.1,2004081318,2004081518,9.0,12.1,297.2,314.4,1.0,0.5,0,0,0,NaN,9X,l05,NaN,NaN,wn,
06l.2004,TY,NN,FRANCES,125,16.0,16.8,24.7,293.5,2004082500,2004091018,11.1,47.2,274.8,324.8,18.7,27.2,6,0,4,ddRI,9X,l06,NaN,NaN,wn,
07l.2004,TY,NN,GASTON,65,6.5,6.5,38.3,292.0,2004082712,2004090300,31.3,52.0,280.4,331.1,3.7,2.4,0,0,2,ddRW,9X,l07,6,2004082718,wn,
08l.2004,TS,NN,HERMINE,50,3.8,3.8,33.4,290.8,2004082718,2004083112,29.0,43.1,288.5,294.8,1.7,0.8,0,0,0,NaN,9X,l08,48,2004082918,wn,
09l.2004,STY,NN,IVAN,145,20.2,21.5,21.3,288.1,2004090218,2004092406,8.9,38.4,265.8,332.4,24.7,42.1,4,2,6,ddED,9X,l09,NaN,NaN,wn,
10l.2004,TD,NN,TEN,30,2.8,3.0,34.2,324.8,2004090712,2004091012,31.5,36.5,320.3,330.5,0.8,0.0,0,0,0,NaN,9X,l10,42,2004090906,wn,
11l.2004,TY,NN,JEANNE,105,15.2,15.8,25.1,287.8,2004091318,2004092912,15.9,38.8,276.1,300.0,13.7,14.5,2,0,5,ddRI,9X,l11,NaN,NaN,wn,
12l.2004,TY,NN,KARL,125,11.8,11.8,31.9,326.2,2004091606,2004092800,11.2,65.5,310.5,373.5,13.9,18.8,4,0,4,ddRI,9X,l12,12,2004091618,wn,
13l.2004,TY,NN,LISA,65,13.5,13.5,22.5,317.4,2004091918,2004100306,13.0,44.5,312.2,330.0,9.5,7.4,1,0,0,rrRI,9X,l13,NaN,NaN,wn,
14l.2004,TS,NN,MATTHEW,40,2.5,2.8,27.7,267.6,2004100812,2004101106,24.0,33.6,264.6,269.1,1.2,0.6,0,0,0,NaN,9X,l14,6,2004100818,wn,
15l.2004,TS,NN,NICOLE,45,1.8,1.8,33.3,295.5,2004101000,2004101118,30.0,38.5,293.5,299.5,1.2,0.8,0,0,0,NaN,9X,l15,6,2004101006,wn,
16l.2004,TS,NN,OTTO,45,8.8,9.5,28.2,312.0,2004112600,2004120512,25.0,31.9,308.6,320.0,4.1,2.1,0,0,0,NaN,9X,l16,114,2004113018,wn,
01c.2004,TD,NN,ONE,25,0.8,2.0,6.7,196.4,2004070400,2004070600,6.0,7.0,192.1,203.0,0.2,0.0,0,0,0,NaN,9X,c01,24,2004070500,wn,
01e.2004,TS,NN,AGATHA,50,3.2,4.0,17.7,250.0,2004052200,2004052600,14.7,18.9,249.0,252.4,1.4,0.6,0,0,0,NaN,9X,e01,NaN,NaN,wn,
02e.2004,TD,NN,TWO,30,1.2,2.5,16.8,235.9,2004070212,2004070500,15.2,17.6,230.7,240.8,0.4,0.0,0,0,0,NaN,9X,e02,NaN,NaN,wn,
03e.2004,TS,NN,BLAS,55,3.8,6.8,22.8,239.4,2004071212,2004071906,14.6,26.9,231.6,254.5,1.8,1.0,0,0,0,NaN,9X,e03,NaN,NaN,wn,
04e.2004,TY,NN,CELIA,75,7.2,7.2,16.4,236.5,2004071900,2004072606,14.4,19.1,223.4,246.9,4.3,3.0,0,0,2,ddRW,9X,e04,NaN,NaN,wn,
05e.2004,TY,NN,DARBY,105,5.8,5.8,16.3,233.1,2004072612,2004080106,12.2,19.3,218.0,247.2,5.0,5.3,6,0,5,ddRI,9X,e05,6,2004072618,wn,
06e.2004,TD,NN,SIX,25,0.8,0.8,12.1,232.9,2004080106,2004080200,12.0,12.4,232.2,233.9,0.2,0.0,0,0,0,NaN,9X,e06,18,2004080200,wn,
07e.2004,TS,NN,ESTELLE,60,5.2,6.5,14.7,217.0,2004081906,2004082518,11.6,16.4,206.0,228.2,2.6,1.5,0,0,0,NaN,9X,e07,NaN,NaN,wn,
08e.2004,TY,NN,FRANK,75,4.2,4.2,20.7,243.6,2004082306,2004082712,16.7,22.6,238.5,249.8,2.8,2.2,2,0,3,ddRI,9X,e08,NaN,NaN,wn,
09e.2004,TD,NN,NINE,30,3.0,4.5,19.0,230.5,2004082318,2004082806,17.3,20.0,221.5,236.4,0.8,0.0,0,0,0,NaN,9X,e09,NaN,NaN,wn,
10e.2004,TS,NN,GEORGETTE,55,4.0,8.0,19.9,234.5,2004082612,2004090312,14.7,23.1,213.9,254.0,2.5,1.7,0,0,0,NaN,9X,e10,NaN,NaN,wn,
11e.2004,TY,NN,HOWARD,120,6.8,10.8,21.0,243.2,2004083012,2004091006,11.9,27.5,232.5,256.9,6.3,7.4,4,1,9,ddED,9X,e11,6,2004083018,wn,
12e.2004,TY,NN,ISIS,65,12.8,12.8,17.0,233.2,2004090806,2004092100,15.1,18.4,220.0,250.1,5.7,2.9,1,0,2,ddRI,9X,e12,NaN,NaN,wn,
13e.2004,STY,NN,JAVIER,130,8.8,9.2,18.2,252.7,2004091018,2004092000,11.2,30.0,246.5,266.5,10.7,16.0,6,2,5,ddED,9X,e13,NaN,NaN,wn,
14e.2004,TS,NN,KAY,40,2.0,2.8,14.9,243.7,2004100418,2004100712,13.8,16.1,240.0,248.7,0.7,0.2,0,0,0,NaN,9X,e14,NaN,NaN,wn,
15e.2004,TS,NN,LESTER,45,1.8,1.8,15.8,261.2,2004101118,2004101312,14.4,16.7,259.4,263.3,0.8,0.3,0,0,0,NaN,9X,e15,NaN,NaN,wn,
16e.2004,TD,NN,SIXTEEN,30,1.5,1.5,22.0,251.1,2004102500,2004102612,18.3,25.8,250.8,251.4,0.4,0.0,0,0,0,NaN,9X,e16,18,2004102518,wn,
01a.2004,TS,NN,NONAME,45,5.5,5.5,12.4,73.0,2004050400,2004050912,10.8,16.4,70.4,74.3,2.7,1.6,0,0,0,NaN,9X,a01,24,2004050500,wn,
02b.2004,TY,NN,NONAME,65,4.2,5.0,18.0,91.1,2004051418,2004051918,14.8,21.8,88.2,96.3,2.2,1.4,1,0,0,rrRI,9X,b02,66,2004051712,wn,
03a.2004,TS,NN,NONAME,35,8.5,9.8,20.0,68.1,2004093006,2004101000,16.3,23.4,66.4,70.7,2.4,0.3,0,0,0,NaN,9X,a03,30,2004100112,wn,
04a.2004,TS,NN,NONAME,40,6.5,7.0,13.4,62.9,2004110112,2004110812,9.4,15.0,52.7,67.8,2.5,1.0,0,0,0,NaN,9X,a04,72,2004110412,wn,
05a.2004,TY,NN,AGNI,65,7.5,8.2,5.0,59.4,2004112700,2004120506,0.7,8.3,46.4,72.4,4.8,3.6,0,0,0,NaN,9X,a05,30,2004112806,wn,
01s.2004,TS,NN,ABAIMBA,45,6.0,6.0,-5.4,65.8,2003092906,2003100506,-7.1,-4.2,63.4,67.5,2.4,1.0,0,0,0,NaN,9X,s01,12,2003092918,wn,
02s.2004,TY,NN,BENI,100,14.2,14.2,-10.8,73.9,2003110812,2003112218,-13.3,-4.9,57.2,79.4,8.7,7.1,5,0,7,ddRI,9X,s02,18,2003110906,wn,
03s.2004,TY,NN,CELA,65,16.8,17.8,-18.3,47.9,2003120400,2003122118,-38.2,-9.3,39.1,64.6,10.3,7.4,2,0,0,rrRI,9X,s03,42,2003120518,wn,
04s.2004,TY,NN,JANA,80,11.2,11.2,-12.0,87.9,2003120612,2003121718,-14.9,-7.5,65.0,99.2,6.1,4.6,2,0,4,ddRI,9X,s04,12,2003120700,wn,
05p.2004,TY,NN,DEBBIE,65,5.2,5.2,-11.2,134.3,2003121700,2003122206,-15.0,-9.3,131.6,137.4,2.6,1.6,0,0,3,ddRW,9X,p05,42,2003121818,wn,
06s.2004,TS,NN,DARIUS,55,6.8,11.8,-13.3,63.8,2003122318,2004010412,-30.1,-6.4,58.1,70.9,4.6,3.5,0,0,0,NaN,9X,s06,132,2003122906,wn,
07p.2004,STY,NN,HETA,140,10.8,11.0,-17.0,188.9,2003122912,2004010912,-34.8,-8.0,180.0,203.6,9.8,13.5,5,3,7,ddED,9X,p07,60,2004010100,wn,
08s.2004,TS,NN,KEN,35,4.8,5.2,-18.1,117.2,2004010106,2004010612,-21.3,-16.4,113.0,124.2,2.0,0.9,0,0,0,NaN,9X,s08,12,2004010118,wn,
