stmid,tctype,stmtype,sname,maxv,ndtc,ndstm,blat,blon,bdtg,edtg,minlat,maxlat,minlon,maxlon,stcd,ace,nri,ned,nrw,ricode,9x,9xid,t2gen,gendtg,wncode,
01w.1950,STY,NN,DORIS,130,7.8,7.8,16.5,141.9,1950050612,1950051406,7.2,32.2,135.0,150.8,11.0,16.3,6,1,6,ddED,9X,w01,6,1950050618,bt,
02w.1950,TS,NN,NONAME,35,3.5,3.8,22.3,118.3,1950060500,1950060818,20.0,24.8,115.8,121.5,1.2,0.4,0,0,0,NaN,9X,w02,36,1950060612,bt,
03w.1950,TY,NN,ELSIE,75,1.2,1.2,28.6,127.1,1950062300,1950062406,21.5,35.9,125.5,131.0,1.5,1.5,0,0,0,NaN,9X,w03,NaN,NaN,NaN,
04w.1950,TS,NN,FLOSSIE,60,4.2,4.2,26.9,133.1,1950071512,1950071918,22.0,31.2,127.7,142.3,2.9,2.1,0,0,0,NaN,9X,w04,NaN,NaN,NaN,
05w.1950,TY,NN,GRACE,70,5.2,5.2,28.4,128.7,1950071612,1950072118,21.0,36.0,127.0,131.3,4.4,3.9,0,0,0,NaN,9X,w05,NaN,NaN,NaN,
06w.1950,TS,NN,HELENE,50,3.0,3.0,27.8,135.6,1950072500,1950072800,22.0,31.5,129.8,142.0,1.4,0.7,0,0,0,NaN,9X,w06,36,1950072612,bt,
07w.1950,TY,NN,IDA,75,10.5,10.5,29.4,150.5,1950081012,1950082100,22.5,37.5,134.0,164.2,9.6,9.0,0,0,0,NaN,9X,w07,NaN,NaN,NaN,
08w.1950,TY,NN,JANE,100,5.2,5.2,29.8,137.4,1950083000,1950090406,24.0,45.3,133.8,146.0,5.4,6.0,0,0,4,ddRW,9X,w08,NaN,NaN,NaN,
09w.1950,TY,NN,KEZIA,100,8.5,8.5,28.8,138.7,1950090700,1950091512,17.0,52.0,130.9,155.0,9.8,11.9,0,0,3,ddRW,9X,w09,NaN,NaN,NaN,
10w.1950,TS,NN,LUCRETIA,55,2.0,2.0,25.3,136.2,1950091706,1950091906,21.3,30.0,134.1,142.0,1.6,1.3,0,0,0,NaN,9X,w10,NaN,NaN,NaN,
11w.1950,TS,NN,MISSATHA,55,1.2,1.2,30.4,139.1,1950091800,1950091906,27.0,35.8,138.0,141.7,1.1,0.9,0,0,0,NaN,9X,w11,NaN,NaN,NaN,
12w.1950,TY,NN,OSSIA,100,4.2,4.2,18.6,119.1,1950100100,1950100506,15.4,21.7,114.3,126.4,5.0,5.9,0,0,3,ddRW,9X,w12,NaN,NaN,NaN,
13w.1950,TY,NN,PETIE,90,4.5,4.5,27.8,145.0,1950101900,1950102312,24.9,33.2,141.8,151.8,5.7,7.0,0,0,1,ddRW,9X,w13,NaN,NaN,NaN,
14w.1950,TY,NN,RUBY,100,3.5,3.5,24.5,138.4,1950102806,1950103118,15.0,40.8,133.8,148.2,4.9,6.8,2,1,2,ddED,9X,w14,NaN,NaN,NaN,
15w.1950,TY,NN,BILLIE,80,4.0,4.0,21.2,146.5,1950110500,1950110900,15.0,28.5,143.6,152.3,3.7,3.7,0,0,0,NaN,9X,w15,NaN,NaN,NaN,
16w.1950,TY,NN,CLARA,125,7.8,7.8,21.4,131.2,1950110600,1950111318,13.2,29.3,123.8,150.5,10.5,15.2,1,0,0,rrRI,9X,w16,NaN,NaN,NaN,
17w.1950,TS,NN,DELILAH,60,3.0,3.0,12.0,119.9,1950111918,1950112218,8.7,15.6,112.5,128.5,1.8,1.2,2,0,1,ddRI,9X,w17,12,1950112006,bt,
18w.1950,TY,NN,FRAN,80,3.2,3.2,14.1,120.4,1950122900,1951010106,12.8,14.5,113.2,127.8,2.9,2.7,1,0,0,rrRI,9X,w18,NaN,NaN,NaN,
01l.1950,TY,NN,ABLE,110,12.2,12.2,32.5,296.4,1950081200,1950082406,17.1,55.3,284.5,329.7,12.8,15.7,0,0,7,ddRW,9X,l01,NaN,NaN,NaN,
02l.1950,TY,NN,BAKER,90,13.5,14.2,21.7,285.4,1950081812,1950090118,12.0,37.0,270.3,306.0,10.4,9.5,1,0,8,ddRI,9X,l02,24,1950081912,bt,
03l.1950,TY,NN,CHARLIE,95,15.0,15.0,24.7,309.7,1950082112,1950090512,10.6,44.8,298.5,333.6,14.3,15.4,0,0,0,NaN,9X,l03,NaN,NaN,NaN,
04l.1950,TY,NN,DOG,125,18.2,18.2,32.7,303.2,1950083018,1950091800,15.2,59.8,287.8,356.2,24.1,33.9,1,0,3,ddRI,9X,l04,NaN,NaN,NaN,
05l.1950,TY,NN,EASY,105,6.8,8.5,27.8,275.8,1950090106,1950090918,19.7,35.9,269.8,278.4,6.8,7.9,0,0,6,ddRW,9X,l05,NaN,NaN,NaN,
06l.1950,TY,NN,FOX,120,9.2,9.2,23.9,308.4,1950090806,1950091712,15.5,45.5,300.2,320.5,11.6,15.9,0,0,2,ddRW,9X,l06,NaN,NaN,NaN,
07l.1950,TY,NN,GEORGE,95,10.2,10.2,36.2,305.6,1950092706,1950100712,24.6,61.8,292.0,352.5,9.8,10.5,0,0,3,ddRW,9X,l07,NaN,NaN,NaN,
