stmid,tctype,stmtype,sname,maxv,ndtc,ndstm,blat,blon,bdtg,edtg,minlat,maxlat,minlon,maxlon,stcd,ace,nri,ned,nrw,ricode,9x,9xid,t2gen,gendtg,wncode,
01w.1963,TY,NN,OLIVE,125,9.2,9.2,20.3,153.2,1963042700,1963050606,9.7,34.7,143.5,175.4,13.2,19.3,5,2,0,rrED,9X,w01,NaN,NaN,NaN,
02w.1963,TY,NN,POLLY,70,5.8,5.8,25.4,136.5,1963053106,1963060600,15.7,38.7,130.8,153.6,5.0,4.6,0,0,0,NaN,9X,w02,18,1963060100,bt,
03w.1963,TS,NN,ROSE,50,5.8,5.8,23.3,125.4,1963060800,1963061318,18.5,35.5,119.8,134.5,3.9,2.8,0,0,0,NaN,9X,w03,NaN,NaN,NaN,
04w.1963,STY,NN,SHIRLEY,140,9.2,9.2,27.0,132.5,1963061306,1963062212,13.7,45.3,123.9,155.2,12.6,20.0,5,0,3,ddRI,9X,w04,NaN,NaN,NaN,
05w.1963,TY,NN,TRIX,70,5.0,5.0,18.4,120.1,1963062606,1963070106,13.5,24.6,116.3,126.2,4.6,4.2,0,0,1,ddRW,9X,w05,NaN,NaN,NaN,
06w.1963,TS,NN,VIRGINIA,50,5.2,5.2,24.7,134.5,1963070406,1963070912,17.2,36.5,131.8,146.8,2.4,1.2,0,0,0,NaN,9X,w06,60,1963070618,bt,
07w.1963,STY,NN,WENDY,135,9.0,9.0,19.9,131.1,1963070918,1963071818,11.8,28.5,116.5,146.9,12.1,19.4,6,1,6,ddED,9X,w07,6,1963071000,bt,
08w.1963,TY,NN,AGNES,85,5.2,5.2,17.8,122.5,1963071712,1963072218,13.1,21.5,110.0,135.1,4.8,4.8,4,0,1,ddRI,9X,w08,18,1963071806,bt,
09w.1963,STY,NN,BESS,130,15.0,15.0,22.8,137.8,1963072706,1963081106,12.2,37.9,130.6,143.8,14.9,20.5,6,2,6,ddED,9X,w09,66,1963073000,bt,
10w.1963,TY,NN,CARMEN,125,10.2,10.2,13.9,125.6,1963080712,1963081718,8.8,22.0,104.0,145.5,10.4,13.4,6,0,7,ddRI,9X,w10,54,1963080918,bt,
