stmid,tctype,stmtype,sname,maxv,ndtc,ndstm,blat,blon,bdtg,edtg,minlat,maxlat,minlon,maxlon,stcd,ace,nri,ned,nrw,ricode,9x,9xid,t2gen,gendtg,wncode,
01w.1948,STY,NN,KAREN,130,8.5,8.5,12.9,140.5,1948011106,1948011918,7.0,20.0,134.0,151.5,9.5,12.1,4,2,5,ddED,9X,xxw,NaN,NaN,NaN,
02w.1948,TY,NN,LANA,80,4.2,4.2,17.8,142.0,1948051612,1948052018,10.0,27.1,138.0,146.1,4.6,4.8,1,0,0,rrRI,9X,xxw,NaN,NaN,NaN,
03w.1948,TY,NN,MABEL,80,4.2,4.2,20.8,132.0,1948052900,1948060206,11.9,31.4,129.4,142.0,4.5,4.6,0,0,0,NaN,9X,xxw,NaN,NaN,NaN,
04w.1948,TS,NN,NADINE,60,2.8,2.8,18.5,135.4,1948060900,1948061118,15.0,25.7,132.9,138.0,1.7,1.1,1,0,0,rrRI,9X,xxw,NaN,NaN,NaN,
05w.1948,TS,NN,OPHELIA,40,0.8,1.0,21.9,112.4,1948061000,1948061100,21.0,22.9,110.9,113.9,0.4,0.2,0,0,0,NaN,9X,xxw,NaN,NaN,NaN,
06w.1948,TY,NN,PEARL,90,7.2,7.2,22.7,129.8,1948070100,1948070806,11.3,43.0,121.3,145.1,7.4,8.3,3,0,2,ddRI,9X,xxw,NaN,NaN,NaN,
07w.1948,TY,NN,ROSE,70,4.2,4.2,17.7,119.3,1948072318,1948072800,11.3,24.2,113.0,128.6,3.1,2.5,1,0,0,rrRI,9X,xxw,NaN,NaN,NaN,
08w.1948,TY,NN,BERTHA,70,2.5,2.5,32.8,140.9,1948080406,1948080618,30.3,35.6,138.8,141.8,2.1,1.7,0,0,0,NaN,9X,xxw,NaN,NaN,NaN,
09w.1948,TS,NN,CHRIS,50,6.2,6.2,22.5,134.0,1948080800,1948081406,19.0,24.0,127.0,142.0,2.9,1.5,0,0,0,NaN,9X,xxw,6,1948080806,bt,
10w.1948,TS,NN,DOLORES,45,4.0,4.0,25.9,145.3,1948081000,1948081400,18.1,34.0,140.1,155.0,2.1,1.2,0,0,0,NaN,9X,xxw,NaN,NaN,NaN,
11w.1948,TS,NN,FLO,50,3.0,3.0,19.0,111.2,1948082000,1948082300,18.2,20.8,106.0,117.9,1.8,1.2,0,0,0,NaN,9X,xxw,NaN,NaN,NaN,
12w.1948,TY,NN,GERTRUD,85,7.5,7.8,17.6,123.0,1948082706,1948090400,15.5,22.2,106.0,137.7,6.9,6.5,2,0,2,ddRI,9X,xxw,NaN,NaN,NaN,
13w.1948,TY,NN,HAZEL,80,5.0,5.0,20.4,126.0,1948090206,1948090706,14.8,29.7,122.0,133.7,5.3,5.6,0,0,2,ddRW,9X,xxw,NaN,NaN,NaN,
