stmid,tctype,stmtype,sname,maxv,ndtc,ndstm,blat,blon,bdtg,edtg,minlat,maxlat,minlon,maxlon,stcd,ace,nri,ned,nrw,ricode,9x,9xid,t2gen,gendtg,wncode,
01w.2001,TD,NN,NONAME,25,2.5,7.0,12.4,123.8,2001021600,2001022300,9.5,16.7,117.5,137.4,0.6,0.0,0,0,0,NaN,9X,w01,48,2001021800,wn,
02w.2001,TD,NN,NONAME,25,0.8,6.8,9.7,130.5,2001041600,2001042218,4.2,15.5,126.0,138.2,0.2,0.0,0,0,0,NaN,9X,w02,60,2001041812,wn,
03w.2001,TS,NN,CIMARON,55,7.5,9.5,14.7,123.3,2001050500,2001051412,5.3,27.4,118.9,129.3,3.9,2.2,0,0,0,NaN,9X,w03,48,2001050700,wn,
04w.2001,TY,NN,CHEBI,100,5.0,5.0,18.3,126.4,2001061906,2001062406,11.1,30.1,119.1,138.4,4.3,4.6,2,0,2,ddRI,9X,w04,12,2001061918,wn,
05w.2001,TY,NN,DURIAN,75,4.2,4.5,19.1,112.6,2001062818,2001070306,15.0,23.5,106.2,117.8,3.0,2.4,0,0,3,ddRW,9X,w05,24,2001062918,wn,
06w.2001,TY,NN,UTOR,85,7.5,8.5,14.1,130.4,2001062812,2001070700,6.3,24.0,110.4,149.1,5.2,4.4,1,0,3,ddRI,9X,w06,66,2001070106,wn,
07w.2001,TS,NN,TRAMI,35,4.2,4.5,19.2,124.5,2001070718,2001071206,12.4,24.6,119.9,130.3,1.5,0.4,0,0,0,NaN,9X,w07,30,2001070900,wn,
08w.2001,TD,NN,NONAME,25,0.5,0.5,21.0,177.8,2001071018,2001071106,20.9,21.1,177.1,178.9,0.2,0.0,0,0,0,NaN,9X,w08,NaN,NaN,wn,
09w.2001,TY,NN,KONG-REY,85,8.0,8.0,28.4,146.3,2001072100,2001072900,23.3,36.9,139.9,154.9,7.3,7.5,0,0,5,ddRW,9X,w09,6,2001072106,wn,
10w.2001,TY,NN,YUTU,85,4.5,4.5,20.5,117.1,2001072206,2001072618,17.5,22.4,108.1,129.5,3.4,3.2,4,1,3,ddED,9X,w10,12,2001072218,wn,
