stmid,tctype,stmtype,sname,maxv,ndtc,ndstm,blat,blon,bdtg,edtg,minlat,maxlat,minlon,maxlon,stcd,ace,nri,ned,nrw,ricode,9x,9xid,t2gen,gendtg,wncode,
01w.1986,TY,NN,JUDY,85,5.0,5.0,12.4,136.3,1986020100,1986020600,4.6,18.8,131.3,143.6,4.0,3.6,0,0,3,ddRW,9X,w01,NaN,NaN,wn,
02w.1986,TY,NN,KEN,90,6.0,6.2,9.8,137.1,1986042618,1986050300,7.4,11.3,132.3,139.7,4.4,4.0,3,0,3,ddRI,9X,w02,NaN,NaN,wn,
03w.1986,STY,NN,LOLA,150,6.2,6.2,16.4,155.8,1986051700,1986052306,7.8,35.3,150.3,164.4,9.1,15.1,5,4,6,ddED,9X,w03,NaN,NaN,wn,
04w.1986,TS,NN,MAC,45,7.2,7.2,21.6,120.6,1986052206,1986052912,19.6,24.9,112.9,130.9,2.6,0.8,0,0,0,NaN,9X,w04,90,1986052600,wn,
05w.1986,TY,NN,NANCY,80,3.5,3.5,23.8,125.2,1986062118,1986062506,14.2,36.3,121.7,132.5,3.2,3.0,1,0,1,ddRI,9X,w05,NaN,NaN,wn,
06w.1986,TS,NN,OWEN,50,4.2,4.2,19.1,129.6,1986062800,1986070206,15.3,26.9,126.8,135.3,2.4,1.5,0,0,0,NaN,9X,w06,NaN,NaN,wn,
07w.1986,STY,NN,PEGGY,140,8.5,8.5,17.2,131.0,1986070300,1986071112,13.9,23.5,114.8,151.8,11.6,18.1,7,0,3,ddRI,9X,w07,NaN,NaN,wn,
08w.1986,TY,NN,ROGER,85,4.5,4.5,24.5,132.7,1986071300,1986071712,16.7,32.8,128.9,139.4,4.6,4.6,0,0,0,NaN,9X,w08,NaN,NaN,wn,
09w.1986,TS,NN,SARAH,55,5.2,5.2,21.0,128.9,1986073012,1986080418,15.2,36.2,124.0,143.0,3.1,2.0,0,0,0,NaN,9X,w09,NaN,NaN,wn,
10w.1986,TY,NN,GEORGETTE,65,7.0,7.5,18.8,164.3,1986080906,1986081618,14.6,26.8,151.8,176.3,5.0,4.0,0,0,0,NaN,9X,w10,NaN,NaN,NaN,
11w.1986,TY,NN,TIP,80,11.8,11.8,30.0,156.4,1986081306,1986082500,18.6,44.0,147.0,165.1,7.6,6.1,0,0,0,NaN,9X,w11,NaN,NaN,wn,
12w.1986,TS,NN,VERA1,40,2.0,2.0,18.4,129.1,1986081518,1986081718,17.8,19.0,126.8,129.9,0.9,0.4,0,0,0,NaN,9X,w12,NaN,NaN,NaN,
13w.1986,TY,NN,WAYNE,90,20.5,21.0,20.1,118.1,1986081606,1986090606,14.8,25.0,103.2,125.2,16.7,16.3,2,0,4,ddRI,9X,w13,48,1986081806,wn,
14w.1986,TY,NN,VERA,110,11.8,11.8,25.5,136.0,1986081712,1986082906,21.3,42.6,124.2,145.7,13.5,17.1,0,0,1,ddRW,9X,w14,NaN,NaN,wn,
15w.1986,TY,NN,ABBY,95,7.2,7.2,19.9,129.4,1986091306,1986092012,12.0,29.2,121.2,146.2,7.0,7.6,0,0,3,ddRW,9X,w15,NaN,NaN,wn,
16w.1986,TY,NN,BEN,120,11.2,11.2,20.9,147.1,1986091900,1986093006,10.5,38.9,138.7,160.4,12.7,16.0,6,0,0,rrRI,9X,w16,NaN,NaN,wn,
17w.1986,TY,NN,CARMEN,100,6.5,6.5,20.3,143.0,1986100200,1986100812,10.9,37.4,137.8,152.9,7.2,8.3,1,0,0,rrRI,9X,w17,NaN,NaN,wn,
18w.1986,TS,NN,DOM,45,3.0,3.0,17.0,110.1,1986100900,1986101200,15.4,18.8,105.1,114.9,1.6,0.9,0,0,0,NaN,9X,w18,NaN,NaN,wn,
19w.1986,TY,NN,ELLEN,80,8.0,8.0,17.3,117.4,1986101100,1986101900,10.8,21.1,111.1,126.6,7.2,6.8,0,0,0,NaN,9X,w19,NaN,NaN,wn,
20w.1986,TY,NN,FORREST,110,4.8,4.8,22.7,147.6,1986101518,1986102012,15.6,36.5,142.2,162.5,6.0,7.6,3,0,1,ddRI,9X,w20,NaN,NaN,wn,
21w.1986,TS,NN,GEORGIA,55,4.0,4.8,14.1,115.1,1986101806,1986102300,11.5,16.3,102.8,127.3,2.8,2.0,0,0,2,ddRW,9X,w21,NaN,NaN,wn,
22w.1986,TS,NN,HERBERT,60,4.0,4.0,13.8,114.8,1986110718,1986111118,13.1,14.4,109.4,120.9,2.9,2.2,0,0,0,NaN,9X,w22,6,1986110800,wn,
23w.1986,TS,NN,IDA,55,5.5,5.5,13.1,122.0,1986111018,1986111606,6.0,20.2,113.9,133.5,2.8,1.6,0,0,0,NaN,9X,w23,NaN,NaN,wn,
24w.1986,TY,NN,JOE,100,6.2,6.2,19.7,125.3,1986111818,1986112500,13.6,24.5,123.9,128.0,6.3,7.0,1,0,1,ddRI,9X,w24,NaN,NaN,wn,
25w.1986,STY,NN,KIM,135,14.8,14.8,15.6,141.0,1986112806,1986121300,7.9,22.5,125.0,162.9,17.4,24.8,4,0,3,ddRI,9X,w25,NaN,NaN,wn,
26w.1986,TS,NN,LEX,40,5.5,5.5,14.7,151.3,1986120318,1986120906,8.1,25.8,141.2,163.0,1.8,0.4,0,0,0,NaN,9X,w26,NaN,NaN,NaN,
27w.1986,TY,NN,MARGE,95,9.2,9.2,10.0,138.3,1986121406,1986122312,7.0,12.3,117.4,160.0,8.5,8.9,0,0,4,ddRW,9X,w27,NaN,NaN,wn,
28w.1986,TY,NN,NORRIS,90,10.5,10.5,11.2,144.7,1986122118,1987010106,8.6,13.9,119.4,166.9,8.1,7.5,0,0,1,ddRW,9X,w28,NaN,NaN,wn,
01l.1986,TS,NN,ANDREW,45,3.0,3.8,32.2,284.5,1986060500,1986060818,26.2,39.6,282.0,291.1,2.1,1.3,0,0,0,NaN,9X,l01,36,1986060612,wn,
02l.1986,TY,NN,BONNIE,75,4.8,4.8,30.0,268.3,1986062318,1986062812,25.6,37.2,265.3,272.8,2.3,1.7,0,0,4,ddRW,9X,l02,24,1986062418,wn,
03l.1986,TD,NN,UNNAMED,30,5.0,5.0,29.9,298.0,1986072312,1986072812,24.0,41.2,294.5,305.1,0.9,0.0,0,0,0,NaN,9X,l03,NaN,NaN,NaN,
