stmid,tctype,stmtype,sname,maxv,ndtc,ndstm,blat,blon,bdtg,edtg,minlat,maxlat,minlon,maxlon,stcd,ace,nri,ned,nrw,ricode,9x,9xid,t2gen,gendtg,wncode,
01w.1974,TS,NN,WANDA,55,5.5,5.5,13.5,138.8,1974010900,1974011412,8.6,20.0,129.7,157.0,2.2,0.9,0,0,0,NaN,9X,xxw,24,1974011000,wn,
02w.1974,TS,NN,AMY,55,8.0,8.0,15.9,146.3,1974031300,1974032100,8.1,32.0,136.3,177.0,3.5,1.7,0,0,0,NaN,9X,xxw,36,1974031412,wn,
03w.1974,TS,NN,BABE,60,7.2,8.5,20.5,149.4,1974042500,1974050312,7.1,44.0,144.5,173.0,3.9,2.6,0,0,0,NaN,9X,xxw,24,1974042600,wn,
04w.1974,TY,NN,CARLA,80,7.5,7.5,20.6,150.9,1974050100,1974050812,8.9,37.0,143.7,179.0,5.0,3.9,0,0,2,ddRW,9X,xxw,NaN,NaN,NaN,
05w.1974,TD,NN,NONAME,30,1.5,2.2,20.2,112.8,1974060600,1974060806,18.9,22.0,111.1,113.6,0.4,0.0,0,0,0,NaN,9X,xxw,18,1974060618,bt,
06w.1974,TY,NN,DINAH,70,7.0,7.8,16.5,118.4,1974060700,1974061418,12.0,21.0,103.0,135.6,5.9,5.2,0,0,4,ddRW,9X,xxw,NaN,NaN,NaN,
07w.1974,TS,NN,EMMA,60,6.0,7.0,17.9,130.1,1974061200,1974061900,8.1,32.5,123.8,141.1,3.2,1.9,0,0,0,NaN,9X,xxw,NaN,NaN,NaN,
08w.1974,TS,NN,FREDA,45,3.0,3.5,27.3,159.1,1974062000,1974062312,25.0,36.0,145.5,177.0,1.4,0.7,0,0,0,NaN,9X,xxw,18,1974062018,bt,
09w.1974,TY,NN,GILDA,90,8.8,9.2,25.9,131.8,1974062900,1974070806,18.3,41.0,126.2,142.4,7.2,7.1,0,0,3,ddRW,9X,xxw,NaN,NaN,NaN,
10w.1974,TS,NN,HARRIET,45,4.0,6.5,23.6,139.5,1974071400,1974072012,11.9,29.2,132.8,150.0,1.7,0.7,0,0,0,NaN,9X,xxw,NaN,NaN,NaN,
11w.1974,TS,NN,JEAN,45,4.5,5.0,24.3,124.7,1974071600,1974072100,17.8,35.9,121.8,129.3,1.9,0.8,0,0,0,NaN,9X,xxw,NaN,NaN,NaN,
12w.1974,TY,NN,IVY,95,7.5,8.0,16.8,123.8,1974071600,1974072400,11.2,25.6,106.2,146.9,6.3,6.6,4,0,5,ddRI,9X,xxw,NaN,NaN,NaN,
13w.1974,TY,NN,KIM,65,6.2,6.2,30.3,167.2,1974072200,1974072806,21.0,51.0,163.3,178.0,4.3,3.2,0,0,0,NaN,9X,xxw,NaN,NaN,NaN,
14w.1974,TS,NN,LUCY,35,3.2,4.0,21.5,118.9,1974080800,1974081200,17.4,25.9,117.8,119.6,1.2,0.4,0,0,0,NaN,9X,xxw,NaN,NaN,NaN,
15w.1974,TY,NN,MARY,70,14.2,16.2,25.4,134.9,1974081000,1974082606,14.5,37.6,119.8,152.3,9.7,7.5,2,0,1,ddRI,9X,xxw,NaN,NaN,NaN,
16w.1974,TD,NN,NONAME,30,2.0,2.2,17.7,110.6,1974081300,1974081506,16.5,18.5,107.0,113.0,0.6,0.0,0,0,0,NaN,9X,xxw,NaN,NaN,NaN,
17w.1974,TS,NN,NADINE,50,3.2,3.2,21.0,137.0,1974081500,1974081806,15.5,31.4,125.6,141.7,1.8,1.1,0,0,0,NaN,9X,xxw,NaN,NaN,NaN,
18w.1974,TY,NN,POLLY,95,12.8,15.5,31.9,146.5,1974082400,1974090812,15.5,45.0,132.4,179.0,9.6,10.0,3,0,4,ddRI,9X,xxw,NaN,NaN,NaN,
19w.1974,TD,NN,NONAME,30,3.8,5.5,32.5,124.3,1974082600,1974083112,22.8,45.0,116.0,131.6,1.0,0.0,0,0,0,NaN,9X,xxw,NaN,NaN,NaN,
20w.1974,TS,NN,ROSE,50,5.0,5.0,24.7,128.2,1974082700,1974090100,20.3,28.1,117.3,139.6,2.7,1.6,0,0,0,NaN,9X,xxw,NaN,NaN,NaN,
21w.1974,TY,NN,SHIRLEY,75,6.8,8.0,30.7,133.7,1974090300,1974091100,23.8,44.0,127.5,153.0,4.7,4.0,0,0,3,ddRW,9X,xxw,12,1974090312,bt,
22w.1974,TS,NN,TRIX,40,2.0,4.0,21.5,112.2,1974090400,1974090800,20.4,22.7,105.0,118.2,0.7,0.3,0,0,0,NaN,9X,xxw,30,1974090506,bt,
23w.1974,TY,NN,VIRGINIA,75,5.5,6.5,36.1,154.4,1974091100,1974091712,24.9,48.6,149.0,167.0,4.1,3.6,3,0,0,rrRI,9X,xxw,12,1974091112,bt,
24w.1974,TS,NN,WENDY,60,6.0,7.5,21.3,122.4,1974092300,1974093012,15.0,26.6,120.6,129.5,3.3,2.2,0,0,3,ddRW,9X,xxw,18,1974092318,bt,
25w.1974,TY,NN,AGNES,105,8.0,8.0,28.4,155.6,1974092400,1974100200,22.6,43.0,150.3,173.0,8.1,9.4,1,0,2,ddRI,9X,xxw,NaN,NaN,NaN,
26w.1974,TY,NN,BESS,65,6.0,6.5,17.3,120.9,1974100800,1974101412,12.0,19.2,104.0,136.0,4.5,3.8,0,0,3,ddRW,9X,xxw,NaN,NaN,NaN,
27w.1974,TY,NN,CARMEN,75,6.8,7.5,16.7,121.2,1974101300,1974102012,11.9,21.7,111.8,132.9,5.0,4.3,0,0,4,ddRW,9X,xxw,NaN,NaN,NaN,
28w.1974,TY,NN,DELLA,90,6.8,7.5,17.2,119.4,1974102000,1974102712,12.3,19.6,103.0,134.8,6.3,6.5,0,0,6,ddRW,9X,xxw,18,1974102018,bt,
29w.1974,TY,NN,ELAINE,95,9.0,9.0,18.1,125.9,1974102300,1974110100,13.1,21.0,110.2,144.3,6.4,6.1,4,0,2,ddRI,9X,xxw,30,1974102406,wn,
30w.1974,TS,NN,FAYE,55,4.5,5.5,14.0,115.7,1974103100,1974110512,11.5,15.0,100.2,129.2,2.3,1.3,0,0,1,ddRW,9X,xxw,NaN,NaN,NaN,
31w.1974,TY,NN,GLORIA,120,7.8,8.0,15.4,127.8,1974110200,1974111000,6.6,22.3,115.5,142.0,7.3,8.6,4,0,4,ddRI,9X,xxw,NaN,NaN,NaN,
32w.1974,TS,NN,HESTER,35,2.2,2.5,12.8,115.1,1974111300,1974111512,12.3,13.1,107.8,121.2,0.8,0.2,0,0,0,NaN,9X,xxw,NaN,NaN,NaN,
33w.1974,TY,NN,IRMA,115,12.5,13.0,15.0,127.6,1974112000,1974120300,8.1,23.5,111.8,145.7,12.0,14.3,0,0,6,ddRW,9X,xxw,NaN,NaN,NaN,
34w.1974,TS,NN,JUDY,40,2.0,2.2,13.1,112.5,1974121700,1974121906,12.0,14.2,109.5,116.1,0.9,0.4,0,0,0,NaN,9X,xxw,NaN,NaN,NaN,
35w.1974,TS,NN,KIT,40,6.2,6.5,10.3,121.9,1974121800,1974122412,8.8,11.4,107.0,139.9,2.2,0.7,0,0,0,NaN,9X,xxw,NaN,NaN,NaN,
01l.1974,TD,NN,UNNAMED,25,2.5,4.0,21.9,269.3,1974062212,1974062612,19.0,23.5,265.0,272.5,0.6,0.0,0,0,0,NaN,9X,xxl,12,1974062300,bt,
02l.1974,TS,NN,SUBTROP,55,1.2,1.2,28.4,277.8,1974062418,1974062600,24.0,33.5,272.0,284.5,0.9,0.6,0,0,0,NaN,9X,xxl,NaN,NaN,NaN,
03l.1974,TD,NN,UNNAMED,30,1.8,2.0,18.0,331.7,1974063012,1974070212,18.0,18.0,324.0,339.0,0.5,0.0,0,0,0,NaN,9X,xxl,NaN,NaN,NaN,
04l.1974,TD,NN,UNNAMED,30,4.0,4.2,27.2,268.9,1974071312,1974071718,25.5,29.5,265.5,273.0,1.0,0.0,0,0,0,NaN,9X,xxl,12,1974071400,bt,
05l.1974,TS,NN,SUBTROP,45,4.5,4.5,38.1,298.9,1974071600,1974072012,29.0,48.8,285.0,313.0,2.3,1.3,0,0,0,NaN,9X,xxl,NaN,NaN,NaN,
06l.1974,TS,NN,SUBTROP,50,4.5,4.5,38.4,294.4,1974081012,1974081500,35.5,43.5,290.0,300.0,2.8,1.9,0,0,0,NaN,9X,xxl,NaN,NaN,NaN,
07l.1974,TS,NN,ALMA,55,3.0,3.0,10.3,303.6,1974081212,1974081512,10.0,10.5,290.0,317.0,1.6,0.9,1,0,0,rrRI,9X,xxl,24,1974081312,wn,
08l.1974,TD,NN,UNNAMED,30,2.0,2.0,26.4,269.3,1974082412,1974082612,24.0,29.5,264.5,274.5,0.5,0.0,0,0,0,NaN,9X,xxl,6,1974082418,bt,
09l.1974,TY,NN,BECKY,100,6.8,6.8,36.1,299.3,1974082612,1974090206,27.0,43.1,290.2,324.0,6.9,8.5,5,0,2,ddRI,9X,xxl,48,1974082812,wn,
10l.1974,STY,NN,CARMEN,130,12.0,12.0,21.9,275.0,1974082906,1974091006,16.4,31.3,263.3,304.2,11.9,15.1,13,0,9,ddRI,9X,xxl,42,1974083100,wn,
11l.1974,TD,NN,UNNAMED,30,8.5,9.0,15.5,310.0,1974090212,1974091112,10.0,21.0,287.0,341.0,2.1,0.0,0,0,0,NaN,9X,xxl,6,1974090218,bt,
