stmid,tctype,stmtype,sname,maxv,ndtc,ndstm,blat,blon,bdtg,edtg,minlat,maxlat,minlon,maxlon,stcd,ace,nri,ned,nrw,ricode,9x,9xid,t2gen,gendtg,wncode,
01w.1949,TY,NN,CARMEN,85,7.5,7.5,10.8,134.0,1949011306,1949012018,6.5,13.4,124.8,140.5,6.8,6.6,0,0,4,ddRW,9X,xxw,NaN,NaN,NaN,
02w.1949,TY,NN,DELLA,100,6.5,6.5,24.2,129.1,1949061600,1949062212,12.0,39.0,124.8,136.0,6.1,6.5,3,0,3,ddRI,9X,xxw,NaN,NaN,NaN,
03w.1949,TS,NN,ELAINE,50,7.0,7.2,15.1,121.1,1949070406,1949071112,6.8,28.0,106.0,135.4,3.5,2.0,0,0,0,NaN,9X,xxw,12,1949070418,bt,
04w.1949,TY,NN,FAYE,90,7.0,7.0,27.6,132.2,1949071206,1949071906,20.5,38.0,129.7,139.5,7.5,8.7,2,1,2,ddED,9X,xxw,NaN,NaN,NaN,
05w.1949,TY,NN,GLORIA,110,7.2,7.5,21.1,129.2,1949071800,1949072512,11.0,34.0,116.0,139.0,8.3,11.2,6,0,4,ddRI,9X,xxw,12,1949071812,bt,
06w.1949,TY,NN,HESTER,110,8.8,9.8,20.7,144.8,1949071900,1949072818,11.7,35.5,136.5,155.6,7.1,7.0,4,1,2,ddED,9X,xxw,24,1949072000,bt,
07w.1949,TS,NN,IRMA,50,4.5,4.5,25.2,121.0,1949072606,1949073018,19.0,34.0,115.0,124.0,2.9,2.0,0,0,0,NaN,9X,xxw,NaN,NaN,NaN,
08w.1949,TY,NN,JUDITH,85,10.2,10.2,23.2,129.5,1949080800,1949081806,10.1,34.8,125.4,133.4,7.1,5.8,0,0,0,NaN,9X,xxw,NaN,NaN,NaN,
09w.1949,TY,NN,KITTY,110,5.5,5.5,32.3,145.8,1949082712,1949090200,23.3,48.3,139.1,155.2,5.6,6.2,2,0,4,ddRI,9X,xxw,NaN,NaN,NaN,
10w.1949,TY,NN,LISE,120,7.2,7.2,23.3,142.7,1949083100,1949090706,16.7,37.6,136.6,154.1,8.8,12.9,7,0,3,ddRI,9X,xxw,NaN,NaN,NaN,
11w.1949,TY,NN,MADELIN,75,2.8,2.8,27.7,150.3,1949090200,1949090418,20.0,35.5,149.6,152.3,2.7,2.6,0,0,0,NaN,9X,xxw,NaN,NaN,NaN,
