stmid,tctype,stmtype,sname,maxv,ndtc,ndstm,blat,blon,bdtg,edtg,minlat,maxlat,minlon,maxlon,stcd,ace,nri,ned,nrw,ricode,9x,9xid,t2gen,gendtg,wncode,
01w.2002,TS,NN,TAPAH,50,5.0,5.8,11.5,131.0,2002010806,2002011400,6.7,19.1,122.1,140.5,2.1,0.9,0,0,0,NaN,9X,xxw,48,2002011006,wn,
02w.2002,STY,NN,MITAG,140,10.8,11.0,10.4,141.8,2002022512,2002030812,3.2,18.0,129.9,159.2,12.2,18.4,4,0,7,ddRI,9X,xxw,30,2002022618,wn,
03w.2002,TD,NN,NONAME,30,8.8,10.5,7.2,132.2,2002031418,2002032506,3.0,14.2,113.3,150.1,2.2,0.0,0,0,0,NaN,9X,xxw,114,2002031912,wn,
04w.2002,TD,NN,NONAME,30,2.5,3.2,11.8,153.8,2002040318,2002040700,7.2,17.2,146.0,160.8,0.6,0.0,0,0,0,NaN,9X,xxw,48,2002040518,wn,
05w.2002,STY,NN,HAGIBIS,140,8.2,8.2,14.1,146.0,2002051300,2002052106,3.0,35.6,139.4,159.8,7.4,9.9,4,4,4,ddED,9X,xxw,48,2002051500,wn,
06w.2002,TD,NN,NONAME,25,3.2,5.5,18.7,115.6,2002052412,2002053000,14.9,23.2,112.8,120.1,0.8,0.0,0,0,0,NaN,9X,xxw,84,2002052800,wn,
07w.2002,TY,NN,NOGURI,85,5.5,7.5,22.2,119.7,2002060312,2002061100,19.6,32.5,112.3,133.0,3.6,3.1,4,0,3,ddRI,9X,xxw,60,2002060600,wn,
08w.2002,STY,NN,CHATAAN,130,13.8,14.5,13.8,146.5,2002062612,2002071100,3.5,38.9,132.5,156.6,14.9,20.0,3,0,6,ddRI,9X,xxw,36,2002062800,wn,
09w.2002,TY,NN,RAMMASUN,110,8.8,9.8,19.4,131.1,2002062612,2002070606,9.6,37.9,123.7,139.2,8.1,9.8,4,0,7,ddRI,9X,xxw,42,2002062806,wn,
10w.2002,STY,NN,HALONG,135,9.5,10.8,16.5,143.4,2002070512,2002071606,8.7,36.4,127.6,160.4,11.0,15.4,6,0,8,ddRI,9X,xxw,36,2002070700,wn,
11w.2002,TS,NN,NAKRI,40,5.5,5.8,25.2,122.9,2002070718,2002071312,21.0,31.5,117.5,127.7,2.6,1.4,0,0,0,NaN,9X,xxw,18,2002070812,wn,
12w.2002,STY,NN,FENGSHEN,145,13.2,13.2,20.8,153.1,2002071400,2002072706,11.2,34.9,122.3,171.0,19.7,36.2,6,4,4,ddED,9X,xxw,6,2002071406,wn,
13w.2002,TS,NN,NONAME,35,4.5,4.8,12.3,124.3,2002071706,2002072200,8.2,16.9,119.6,130.6,1.2,0.1,0,0,0,NaN,9X,xxw,30,2002071812,wn,
14w.2002,TY,NN,FUNG-WONG,65,9.0,9.0,24.2,136.2,2002071818,2002072718,20.5,32.3,128.3,151.2,5.6,4.0,0,0,0,NaN,9X,xxw,42,2002072012,wn,
15w.2002,TD,NN,KALMAEGI,30,2.8,4.0,14.4,181.3,2002071706,2002072106,9.1,18.1,177.9,183.3,0.8,0.0,0,0,0,NaN,9X,xxw,84,2002072018,wn,
