dtg,stmid,sname,tcvmax,tctype,rlat,rlon,vmax,pmin,dir,spd,trkdir,trkspd,r34m,r34ne,r34se,r34sw,r34nw,r50m,r50ne,r50se,r50sw,r50nw,tccode,wncode,dirtype,posttype,roci,poci,alf,depth,rmax,tdo,
2002010806,w01.2002,9X-W01,TS,NN,6.7,140.5,20,1004,298,8,298,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NT,NW,b,b,NaN,NaN,NaN,NaN,NaN,NaN,
2002010812,w01.2002,9X-W01,TS,NN,6.5,141.8,20,1004,270,1,298,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NT,NW,c,c,NaN,NaN,NaN,NaN,NaN,NaN,
2002010818,w01.2002,9X-W01,TS,NN,7.5,139.0,20,1004,298,8,298,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NT,NW,b,b,NaN,NaN,NaN,NaN,NaN,NaN,
2002010900,w01.2002,9X-W01,TS,NN,7.7,139.1,25,1002,282,8,294,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,NW,C,C,120,1006,NaN,M,45,NaN,
2002010906,w01.2002,9X-W01,TS,NN,5.2,136.5,25,1002,280,4,227,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,NW,C,C,120,1006,NaN,M,45,NaN,
2002010912,w01.2002,9X-W01,TS,NN,10.2,136.7,25,1002,300,8,317,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,NW,C,C,120,1006,NaN,M,45,NaN,
2002010918,w01.2002,9X-W01,TS,NN,10.7,135.7,25,1002,306,13,352,28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,NW,C,C,120,1006,NaN,M,45,NaN,
2002011000,w01.2002,9X-W01,TS,NN,10.0,134.9,25,1002,286,10,264,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,NW,C,C,120,1006,NaN,M,45,NaN,
2002011006,01w.2002,TAPAH,TS,NN,9.3,134.1,25,1002,272,9,228,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,C,C,120,1006,NaN,S,45,NaN,
2002011012,01w.2002,TAPAH,TS,NN,9.6,133.5,30,1000,278,8,254,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,C,C,120,1006,NaN,M,45,NaN,
2002011018,01w.2002,TAPAH,TS,NN,9.9,132.4,30,1000,283,9,290,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,C,C,120,1006,NaN,M,45,NaN,
2002011100,01w.2002,TAPAH,TS,NN,10.0,131.7,30,1000,284,8,283,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,C,C,120,1006,NaN,M,45,NaN,
2002011106,01w.2002,TAPAH,TS,NN,10.8,131.0,30,1000,296,8,303,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TD,WN,C,C,120,1006,NaN,M,45,NaN,
2002011112,01w.2002,TAPAH,TS,NN,11.2,130.0,35,997,298,9,306,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TS,WN,C,C,120,1008,NaN,M,45,NaN,
